,Trainer,Calib,Train,Valid,Domain,Uncalibrated,TS Source,TS Oracle,HB,Isotonic,Beta abm,Beta am,Beta ab,CPCS,TransCal,HB TopLabel,TS,Cluster NN,Cluster LR,Cluster Ensem,CaliGen 0,CaliGen TS 0,CaliGen Ensem 0,CaliGen 0.1,CaliGen TS 0.1,CaliGen Ensem 0.1,CaliGen 0.2,CaliGen TS 0.2,CaliGen Ensem 0.2,CaliGen 0.3,CaliGen TS 0.3,CaliGen Ensem 0.3,CaliGen 0.4,CaliGen TS 0.4,CaliGen Ensem 0.4,CaliGen 0.5,CaliGen TS 0.5,CaliGen Ensem 0.5,CaliGen 0.6,CaliGen TS 0.6,CaliGen Ensem 0.6,CaliGen 0.7,CaliGen TS 0.7,CaliGen Ensem 0.7,CaliGen 0.8,CaliGen TS 0.8,CaliGen Ensem 0.8,CaliGen 0.9,CaliGen TS 0.9,CaliGen Ensem 0.9,CaliGen 1.0,CaliGen TS 1.0,CaliGen Ensem 1.0
0,Art,Product_RealWorld,True,False,Art,1.11,1.11,1.11,18.17,37.21000000000001,0.5499999999999986,0.55,2.660000000000003,1.11,1.11,0.9099999999999996,1.11,1.11,1.11,1.11,16.03,16.03,1.1599999999999997,14.700000000000005,14.700000000000005,1.0400000000000005,12.09,12.09,0.979999999999999,10.61,10.61,0.9499999999999986,9.89,9.89,1.1499999999999992,9.75,9.75,1.0799999999999996,10.579999999999998,10.579999999999998,1.4599999999999986,12.07,12.07,1.5100000000000002,15.810000000000002,15.810000000000002,1.66,17.440000000000005,17.440000000000005,2.0000000000000013,18.550000000000004,18.550000000000004,2.620000000000004
1,Art,Product_RealWorld,False,False,Clipart,76.12000000000002,76.12000000000002,76.12000000000002,78.64000000000001,74.07,72.59,72.58999999999999,75.65,76.12000000000002,76.12000000000002,75.08000000000001,76.12000000000002,76.12000000000002,76.12000000000002,76.12000000000002,68.06000000000002,68.06000000000002,68.54999999999998,68.82000000000002,68.82000000000002,69.72,68.31000000000002,68.31000000000002,70.41,68.75000000000001,68.75000000000001,71.64999999999999,68.61999999999998,68.61999999999998,73.03999999999999,70.08,70.08,73.4,72.25,72.25,74.49999999999999,74.14000000000001,74.14000000000001,74.9,75.19000000000001,75.19000000000001,75.6,77.38,77.38,76.47999999999999,78.63000000000001,78.63000000000001,77.13
2,Art,Product_RealWorld,False,True,Product,69.82000000000001,69.82000000000001,69.82000000000001,71.42000000000002,65.79,64.14000000000001,64.83000000000001,69.39000000000001,69.82000000000001,69.82000000000001,68.51,69.82000000000001,69.82000000000001,69.82000000000001,69.82000000000001,43.260000000000005,43.260000000000005,53.8,43.98,43.98,55.84,45.3,45.3,57.06,46.66,46.66,59.29,49.35,49.35,61.67999999999999,52.53,52.53,63.32000000000001,57.870000000000005,57.870000000000005,65.46000000000001,62.210000000000015,62.210000000000015,66.80999999999999,66.16,66.16,68.15,70.35,70.35,69.80999999999999,74.03,74.03,71.14000000000001
3,Art,Product_RealWorld,False,True,RealWorld,59.14,59.14,59.14,63.06,56.31,54.510000000000005,54.40000000000001,58.69999999999999,59.14,59.14,57.15,59.14,59.14,59.14,59.14,44.05,44.05,47.41,44.27,44.27,48.8,45.02999999999999,45.02999999999999,50.8,45.83999999999999,45.83999999999999,52.1,47.6,47.6,53.73,49.86,49.86,54.48999999999999,52.59,52.59,55.42,55.36,55.36,57.16000000000001,58.55,58.55,58.720000000000006,61.29,61.29,59.46999999999999,64.01,64.01,60.77
4,Art,Clipart_RealWorld,True,False,Art,1.11,1.11,1.11,18.430000000000003,37.260000000000005,0.5099999999999987,0.5099999999999987,2.740000000000002,1.11,1.11,0.8199999999999988,1.11,1.11,1.11,1.11,15.110000000000005,15.110000000000005,1.1699999999999997,13.28,13.28,1.2100000000000015,13.93,13.93,1.0,11.089999999999998,11.089999999999998,0.9600000000000009,10.719999999999995,10.719999999999995,0.9899999999999992,10.989999999999998,10.989999999999998,1.05,11.04,11.04,1.2399999999999998,12.94,12.94,1.5100000000000002,15.930000000000003,15.930000000000003,1.7899999999999991,20.64,20.64,2.3800000000000034,22.59,22.59,2.950000000000003
5,Art,Clipart_RealWorld,False,True,Clipart,76.12000000000002,76.12000000000002,76.12000000000002,77.02,72.16,70.67,70.92999999999999,75.47,76.12000000000002,76.12000000000002,74.46000000000001,76.12000000000002,76.12000000000002,76.12000000000002,76.12000000000002,54.92999999999999,54.92999999999999,63.05000000000001,55.82000000000001,55.82000000000001,65.71000000000001,57.75,57.75,67.66,59.54,59.54,69.46000000000001,60.66,60.66,70.28,64.13000000000001,64.13000000000001,71.83000000000001,67.99,67.99,72.99,72.16,72.16,74.25999999999999,75.3,75.3,75.49,77.64,77.64,76.45,79.77,79.77,77.28
6,Art,Clipart_RealWorld,False,False,Product,69.82000000000001,69.82000000000001,69.82000000000001,72.38,67.18999999999998,65.57000000000001,65.7,69.35999999999999,69.82000000000001,69.82000000000001,68.86000000000001,69.82000000000001,69.82000000000001,69.82000000000001,69.82000000000001,58.4,58.4,61.25,58.99000000000001,58.99000000000001,62.18999999999998,59.75,59.75,63.34999999999999,60.23,60.23,64.8,61.64999999999999,61.64999999999999,65.41999999999999,62.17999999999999,62.17999999999999,66.35999999999999,65.44999999999997,65.44999999999997,67.74,67.65,67.65,68.32,71.15,71.15,69.61,73.79,73.79,70.3,75.92,75.92,71.85
7,Art,Clipart_RealWorld,False,True,RealWorld,59.14,59.14,59.14,62.85000000000001,56.57000000000001,55.04,54.760000000000005,58.69,59.14,59.14,57.79,59.14,59.14,59.14,59.14,47.33,47.33,48.71,47.25,47.25,50.37,48.74,48.74,51.05,49.07000000000001,49.07000000000001,52.61,49.71999999999999,49.71999999999999,53.54,51.31999999999999,51.31999999999999,55.03000000000001,54.25,54.25,55.80999999999999,57.27,57.27,57.620000000000005,59.870000000000005,59.870000000000005,58.75,63.32000000000001,63.32000000000001,59.98,65.83000000000001,65.83000000000001,61.29999999999999
8,Art,Clipart_Product,True,False,Art,1.11,1.11,1.11,25.809999999999995,41.96,0.6199999999999996,0.6800000000000012,4.870000000000003,1.11,1.11,0.8599999999999994,1.11,1.11,1.11,1.11,19.92,19.92,1.64,17.080000000000005,17.080000000000005,1.499999999999999,15.560000000000002,15.560000000000002,1.3200000000000005,14.220000000000002,14.220000000000002,1.2899999999999998,12.68,12.68,1.1900000000000006,12.679999999999998,12.679999999999998,1.180000000000002,13.44,13.44,1.230000000000001,14.970000000000002,14.970000000000002,1.329999999999999,17.31,17.31,1.91,20.35,20.35,2.2500000000000013,24.13,24.13,3.140000000000003
9,Art,Clipart_Product,False,True,Clipart,76.12000000000002,76.12000000000002,76.12000000000002,77.58000000000001,71.94999999999999,70.30999999999999,70.17,75.66,76.12000000000002,76.12000000000002,74.29999999999998,76.12000000000002,76.12000000000002,76.12000000000002,76.12000000000002,54.970000000000006,54.970000000000006,61.000000000000014,55.89,55.89,63.84,56.46999999999999,56.46999999999999,65.37,58.92999999999999,58.92999999999999,67.63,60.23,60.23,69.36999999999998,62.28,62.28,71.1,66.50000000000001,66.50000000000001,72.35,70.13,70.13,73.24,73.78999999999999,73.78999999999999,74.77000000000001,78.11999999999999,78.11999999999999,76.59,80.97,80.97,77.80999999999999
