,Rho,Error,ECE,MCE,Loss,Brier
0,0.0,52.46132208157525,6.08722394680717,21.55794696210653,2.1939179432221003,0.6588243444760641
1,0.1,52.60196905766526,8.47871406724265,23.91214157172952,2.1594180067457636,0.6684436400731405
2,0.2,51.9690576652602,11.3635152342576,25.812129046115814,2.17166005345535,0.6771407922108968
3,0.3,53.09423347398032,13.615283723946781,36.278674176945394,2.253030921485569,0.6964578032493591
4,0.4,54.71167369901548,14.536230338661396,31.09155164724247,2.3000650981376936,0.7146906654040018
5,0.5,55.41490857946554,15.429617459564854,36.69844629555385,2.382519178311219,0.7302295168240865
6,0.6,57.52461322081575,15.318505530954246,37.151046622367126,2.460741641091032,0.7491511702537537
7,0.7,62.09563994374121,12.421191732088728,30.35917808279466,2.581036555844326,0.7762935956319174
8,0.8,63.50210970464135,11.562431918302584,34.91688981321123,2.652472040254041,0.7920140425364176
9,0.9,64.62728551336146,11.344970009812323,31.208076957120085,2.735159680829138,0.8022068540255228
10,1.0,67.51054852320675,9.05082930880173,28.997925980049263,2.8685471096345965,0.8233876625696818
