,Rho,Error,ECE,MCE,Loss,Brier
0,0.0,44.75240206947524,0.047609311580129314,0.15423952510893593,1.7232551879018836,0.572694718837738
1,0.1,44.419807834441976,0.07169499115003804,0.1791872793163842,1.7426611768659408,0.5796681046485901
2,0.2,43.97634885439763,0.10639723825508678,0.23423778934973363,1.7449861438291885,0.5819978515307108
3,0.3,43.717664449371775,0.13345135709013398,0.2648018874397963,1.7814514544025923,0.592017650604248
4,0.4,43.86548410938656,0.15953693575386155,0.34269543974676786,1.8539869225327907,0.609198808670044
5,0.5,45.048041389504796,0.1652041844395867,0.3480120684214454,1.907213119758359,0.6221690972646078
6,0.6,46.37841832963784,0.16424025823854335,0.3286770166370769,1.9783349935556827,0.6411036849021912
7,0.7,49.40872135994087,0.14549603557843285,0.2845893276229057,2.0468063663188105,0.6545765399932861
8,0.8,51.33037694013304,0.1399270234146298,0.26702560486609134,2.1501804670250855,0.6768766045570374
9,0.9,53.99113082039912,0.11894413926593922,0.2385660730894441,2.2342811381844947,0.6894911726315817
10,1.0,54.65631929046563,0.11392055379319042,0.2760603813753762,2.3374942418655755,0.7012286980946859
