,Rho,Error,ECE,MCE,Loss,Brier
0,0.0,53.21049692908989,6.597888660432574,28.560983109713334,2.008203257854959,0.6720388730367025
1,0.1,52.484645449469575,10.457663243664568,22.93974190149605,2.076654191973912,0.6808558106422424
2,0.2,54.606365159128984,12.712256994778585,32.378586131822765,2.1489288196808,0.7027384638786316
3,0.3,54.38302624232273,15.704594385076476,35.239243651851844,2.1894111735595465,0.714836835861206
4,0.4,55.890563930764934,16.566627688335682,42.59278790748045,2.285336463306035,0.7352186640103658
5,0.5,57.6214405360134,16.631491743298565,36.59747841553381,2.376784107430996,0.7568721771240234
6,0.6,61.19486320491345,14.596514590188553,36.68467455676624,2.489145493238856,0.7808134158452352
7,0.7,64.09826912339476,12.81044041433193,34.462619637449585,2.598366431540397,0.8010140856107076
8,0.8,66.27582356225572,11.4737984793503,32.307493101667475,2.7123541393557,0.8202832341194153
9,0.9,69.34673366834171,9.324363391744498,29.56353227297465,2.870443068926251,0.8438295523325602
10,1.0,72.30597431602456,7.073234492992969,23.25391670068105,3.022997633308601,0.8607751329739889
