,Rho,Error,ECE,MCE,Loss,Brier
0,0.0,58.00575875202741,6.847056315896576,26.718615707548437,2.349861413616615,0.7226020892461141
1,0.1,57.43611004805035,11.931359840766406,28.572653273426038,2.3892613621147913,0.7334705789883932
2,0.2,57.295026698011775,14.655254362256537,39.49149641607489,2.415989154457697,0.7431145509084066
3,0.3,59.07580534446206,15.828509307478638,43.558386073068334,2.487499578568573,0.7633965810139974
4,0.4,58.43341291102485,18.912258545448022,46.947712412586924,2.542578712634286,0.776660144329071
5,0.5,62.919073739969264,16.82441814366472,44.008889254120284,2.667791076615283,0.804613987604777
6,0.6,64.90897162538954,16.78942442691701,48.994988168503404,2.744432010889683,0.8220804731051127
7,0.7,66.68914280854578,15.639180733353323,48.06925956849699,2.828870154110183,0.8352125485738119
8,0.8,69.4675280496176,13.790536308804294,50.19638260205587,2.954412910939366,0.8531691630681356
9,0.9,72.09966650265157,12.046496761063727,47.39844580491384,3.0642187570295794,0.869838535785675
10,1.0,74.80409308767518,9.95447468586123,45.07272938887278,3.206693374345681,0.8860373099644979
