,Rho,Error,ECE,MCE,Loss,Brier
0,0.0,50.95735422106179,4.587560510984236,15.439165168559798,2.068700183932211,0.6345299084981283
1,0.1,49.47780678851174,4.017720295455114,14.696837965353033,2.0206755578094087,0.6226844986279806
2,0.2,49.4342906875544,5.555709624570592,23.034070107963057,2.0033521458386327,0.6197807192802429
3,0.3,50.5657093124456,6.700147616249826,22.834624899260444,2.057632940459238,0.6325138608614603
4,0.4,49.47780678851175,8.737114684946441,25.376727897373296,2.031991102974301,0.6326229174931844
5,0.5,50.0,9.659889515965943,26.17803047645818,2.0784097024714305,0.6383777062098185
6,0.6,50.95735422106179,10.696958588700483,28.04758267781952,2.136786763925618,0.6514315207799276
7,0.7,51.784160139251526,10.194891811331477,24.116337602711212,2.205850973435414,0.6634963949521383
8,0.8,53.08964316797215,10.17758880553036,25.36579357615716,2.2530492837563574,0.6741115848223368
9,0.9,54.43864229765013,9.16343076767366,25.86120811509497,2.3403815980712,0.6888681054115295
10,1.0,56.04873803307223,8.489954222830173,20.660519469631172,2.4365203314144015,0.7053635319073995
