,Rho,Error,ECE,MCE,Loss,Brier
0,0.0,42.15522054718034,4.012771386763426,12.403441404351698,1.647003634683949,0.5556744337081909
1,0.1,42.54606365159129,7.330171442328052,16.639462417223637,1.6612352373682706,0.5585945049921671
2,0.2,41.876046901172536,10.869144685545626,48.76475017504381,1.6892630378983495,0.569156289100647
3,0.3,43.941931881630374,11.402058697683659,51.48727701769935,1.7557777002618125,0.5909712711970011
4,0.4,46.00781686208821,13.307610359240485,32.3007313216506,1.8432023884475832,0.6191607117652893
5,0.5,46.28699050809603,15.290213715532586,32.64562286000851,1.9004117139848598,0.6370826164881388
6,0.6,49.022892238972645,14.429871126643311,34.376044509629914,1.9947852480746826,0.6621859272321066
7,0.7,51.87046342825237,13.888632574564314,32.6025666107535,2.081119471446453,0.6839059591293335
8,0.8,54.8855388051368,11.47668032045307,30.59820924052801,2.2063182020348786,0.7088802059491476
9,0.9,58.23562255723059,9.406844151712278,28.844358233834413,2.3287535376726147,0.7333160837491354
10,1.0,60.301507537688444,8.415235957990872,23.39506118543564,2.47626893955742,0.7535184820493063
