Trainer,Calib,Train,Valid,Domain,Uncalibrated,CaliGen 0,CaliGen TS 0,CaliGen Ensem 0,CaliGen 0.1,CaliGen TS 0.1,CaliGen Ensem 0.1,CaliGen 0.2,CaliGen TS 0.2,CaliGen Ensem 0.2,CaliGen 0.3,CaliGen TS 0.3,CaliGen Ensem 0.3,CaliGen 0.4,CaliGen TS 0.4,CaliGen Ensem 0.4,CaliGen 0.5,CaliGen TS 0.5,CaliGen Ensem 0.5,CaliGen 0.6,CaliGen TS 0.6,CaliGen Ensem 0.6,CaliGen 0.7,CaliGen TS 0.7,CaliGen Ensem 0.7,CaliGen 0.8,CaliGen TS 0.8,CaliGen Ensem 0.8,CaliGen 0.9,CaliGen TS 0.9,CaliGen Ensem 0.9,CaliGen 1.0,CaliGen TS 1.0,CaliGen Ensem 1.0
Art,Product_RealWorld,True,False,Art,0.3100000000000023,12.02,12.02,0.4800000000000004,8.889999999999997,8.889999999999997,0.38000000000000045,0.5999999999999993,0.5999999999999993,0.38000000000000045,0.5899999999999992,0.5899999999999992,0.3700000000000031,0.49000000000000127,0.49000000000000127,0.38000000000000045,0.3900000000000013,0.3900000000000013,0.3900000000000027,0.38000000000000045,0.38000000000000045,0.38000000000000045,0.38000000000000045,0.38000000000000045,0.38000000000000045,0.38000000000000184,0.38000000000000184,0.3900000000000027,0.38000000000000045,0.38000000000000045,0.38000000000000045,0.290000000000002,0.290000000000002,0.29000000000000126
Art,Product_RealWorld,False,False,Clipart,78.35,75.16999999999999,75.16999999999999,74.77000000000001,75.05,75.05,74.47999999999999,73.97999999999999,73.97999999999999,76.26,74.53999999999999,74.53999999999999,76.13,75.19,75.19,77.00999999999999,75.69000000000001,75.69000000000001,76.91,75.87,75.87,77.53999999999999,75.95000000000002,75.95000000000002,77.08999999999999,77.31,77.31,77.67000000000002,77.53,77.53,78.02000000000001,78.61999999999999,78.61999999999999,78.38000000000001
Art,Product_RealWorld,False,True,Product,67.8,41.1,41.1,49.97999999999999,41.92,41.92,51.3,43.00000000000001,43.00000000000001,53.730000000000004,43.62,43.62,55.40999999999999,46.269999999999996,46.269999999999996,57.48,47.980000000000004,47.980000000000004,59.330000000000005,50.419999999999995,50.419999999999995,60.80000000000001,53.33,53.33,62.11,57.010000000000005,57.010000000000005,63.529999999999994,62.290000000000006,62.290000000000006,65.59,67.97999999999999,67.97999999999999,67.91
Art,Product_RealWorld,False,True,RealWorld,54.26999999999998,43.790000000000006,43.790000000000006,45.0,44.07,44.07,45.36,44.51,44.51,47.97999999999999,45.24,45.24,48.720000000000006,45.940000000000005,45.940000000000005,49.47,46.19,46.19,49.95,46.86999999999999,46.86999999999999,51.32000000000001,48.53,48.53,51.71,50.28,50.28,52.739999999999995,51.7,51.7,53.339999999999996,54.81,54.81,54.34999999999999
Art,Clipart_RealWorld,True,False,Art,0.3100000000000023,9.769999999999996,9.769999999999996,0.6799999999999983,7.309999999999997,7.309999999999997,0.5,5.090000000000005,5.090000000000005,0.3900000000000027,0.4599999999999994,0.4599999999999994,0.2900000000000027,0.390000000000002,0.390000000000002,0.3100000000000023,0.310000000000003,0.310000000000003,0.2900000000000027,0.35,0.35,0.3000000000000007,0.36000000000000015,0.36000000000000015,0.30000000000000215,0.3100000000000023,0.3100000000000023,0.3100000000000023,0.3100000000000023,0.3100000000000023,0.3100000000000023,0.30000000000000215,0.30000000000000215,0.30000000000000215
Art,Clipart_RealWorld,False,True,Clipart,78.35,59.02,59.02,64.39,58.23,58.23,66.84,59.089999999999996,59.089999999999996,67.39,55.85,55.85,68.27,58.2,58.2,69.43999999999998,59.45,59.45,70.94,61.07000000000001,61.07000000000001,71.92,62.69,62.69,72.95,66.42,66.42,74.80999999999999,71.69,71.69,76.17999999999999,78.39999999999999,78.39999999999999,78.49000000000001
Art,Clipart_RealWorld,False,False,Product,67.8,59.29999999999999,59.29999999999999,60.52000000000002,58.65999999999999,58.65999999999999,60.80000000000001,58.169999999999995,58.169999999999995,61.279999999999994,59.39000000000001,59.39000000000001,63.31000000000002,60.029999999999994,60.029999999999994,63.89,61.45000000000001,61.45000000000001,64.64999999999999,61.970000000000006,61.970000000000006,65.05000000000001,63.269999999999996,63.269999999999996,65.42,64.3,64.3,65.94999999999999,65.71000000000001,65.71000000000001,66.69999999999999,67.9,67.9,67.82000000000001
Art,Clipart_RealWorld,False,True,RealWorld,54.26999999999998,46.21999999999999,46.21999999999999,46.86,45.63999999999999,45.63999999999999,46.47,45.730000000000004,45.730000000000004,47.519999999999996,45.89999999999999,45.89999999999999,48.86,46.199999999999996,46.199999999999996,49.65,47.36,47.36,50.51,47.879999999999995,47.879999999999995,50.87,48.989999999999995,48.989999999999995,51.36,50.58,50.58,52.669999999999995,51.739999999999995,51.739999999999995,52.98,54.57000000000001,54.57000000000001,54.23
Art,Clipart_Product,True,False,Art,0.3100000000000023,15.310000000000002,15.310000000000002,0.6699999999999996,11.68,11.68,0.520000000000001,1.4000000000000008,1.4000000000000008,0.30000000000000215,1.2,1.2,0.3100000000000023,0.8499999999999993,0.8499999999999993,0.3700000000000031,0.6799999999999997,0.6799999999999997,0.36000000000000226,0.5099999999999987,0.5099999999999987,0.3100000000000023,0.3100000000000023,0.3100000000000023,0.3100000000000023,0.38000000000000045,0.38000000000000045,0.38000000000000045,0.2900000000000027,0.2900000000000027,0.2900000000000027,0.3700000000000031,0.3700000000000031,0.3700000000000031
Art,Clipart_Product,False,True,Clipart,78.35,59.260000000000005,59.260000000000005,65.66,58.839999999999996,58.839999999999996,65.61999999999999,55.42,55.42,65.72,56.96,56.96,67.71000000000001,58.080000000000005,58.080000000000005,69.15,59.7,59.7,70.41,62.139999999999986,62.139999999999986,71.61000000000001,63.61,63.61,73.44,66.86,66.86,74.47999999999999,71.77000000000001,71.77000000000001,76.01,78.32,78.32,78.31000000000002
