,Rho,Error,ECE,MCE,Loss,Brier
0,0.0,52.250351617440224,8.19713851271928,22.108189430028677,2.1532084896565187,0.6666163603464762
1,0.1,52.67229254571026,11.2525622885669,31.814894177462197,2.19200187117849,0.6779893438021342
2,0.2,53.586497890295355,14.134598891191844,33.980981121715324,2.258690299990203,0.6982646187146505
3,0.3,53.65682137834036,17.06787781127101,34.31129563687627,2.3058196631549697,0.7171445488929749
4,0.4,54.922644163150494,17.933303745969102,41.904441184467736,2.3783645030745055,0.7369388937950134
5,0.5,57.172995780590725,17.809936072174384,35.099752520248565,2.438888709578249,0.7565143505732218
6,0.6,57.52461322081575,18.832394457127478,42.60574208434533,2.5034259168323754,0.7705427408218384
7,0.7,60.90014064697609,16.744870533472458,39.96600391397061,2.6137689160688686,0.7932313879330953
8,0.8,64.34599156118144,14.317442250533652,42.529522019466185,2.721882549309697,0.8118752638498942
9,0.9,66.38537271448665,12.787428980302877,36.841233130571304,2.822446693913846,0.8247210184733073
10,1.0,67.58087201125176,12.297274351235265,53.27513123315478,2.9576784749050353,0.8415718277295431
