,Rho,Error,ECE,MCE,Loss,Brier
0,0.0,44.292868480105085,0.061222407328164,0.18137582072408698,1.719492520965284,0.5795087218284607
1,0.1,45.11785525331582,0.07576391586683413,0.20583052241511698,1.7753474641131832,0.5996788740158081
2,0.2,45.55972123401383,0.09904753517513025,0.43195706844750426,1.7936322609769428,0.6111137866973877
3,0.3,46.276430773721565,0.1285845380395412,0.2845888925637879,1.8599655778867514,0.6284765203793844
4,0.4,46.88230894130954,0.15379710203981736,0.2983683925365811,1.8954500088250512,0.6458706855773926
5,0.5,49.53095068688085,0.15645638843020487,0.30200145878804424,2.0006988862983186,0.6751951972643534
6,0.6,51.79254921277799,0.15716614306014917,0.29144965643849213,2.091618066378041,0.7002945939699808
7,0.7,55.59848940944667,0.139838459099354,0.28526862826894683,2.221170918600526,0.7287469108899435
8,0.8,59.18367905423896,0.12394174121384062,0.25286774668428635,2.3472622387925557,0.7536637385686239
9,0.9,63.870614635214274,0.09028324330448474,0.30875556701189516,2.4853830714570138,0.7747421264648438
10,1.0,66.2992355827997,0.07175124434342835,0.30511627521246104,2.658256953956718,0.7985015908877054
