,Rho,Error,ECE,MCE,Loss,Brier
0,0.0,55.70060922541341,6.3488144738789325,20.07051483646288,2.263658526987794,0.6945139765739441
1,0.1,54.960835509138384,9.612237797600999,21.892144602161267,2.2539666495666886,0.6999943256378174
2,0.2,55.61357702349869,12.382842695504246,24.80141379563426,2.329444319570682,0.7191803455352783
3,0.3,55.30896431679721,15.013378275213057,32.18973953376784,2.364706874650792,0.7264470458030701
4,0.4,58.52915578764143,13.787324329087587,34.19904566767148,2.4352853963932946,0.7454399267832438
5,0.5,59.74760661444734,14.266030308591922,36.39034317957388,2.5025657999732114,0.7605883479118347
6,0.6,61.18363794604003,14.52863890705249,37.89557636424579,2.5875205020278407,0.7760522564252218
7,0.7,62.706701479547434,14.020797526796192,35.430753967828224,2.6628423534281827,0.7912612358729044
8,0.8,64.57789382071365,12.827680684833604,34.03290629197681,2.759764289702277,0.808066705862681
9,0.9,67.14534377719757,10.909036581637134,52.366900791724525,2.8628107533118228,0.8247931202252706
10,1.0,68.58137510879025,9.405989059408375,32.32684375747802,2.9708075541078887,0.838575522104899
