,Rho,Error,ECE,MCE,Loss,Brier
0,0.0,60.28618430121954,6.35691848750065,16.77590834873694,2.546262532464681,0.7483238776524862
1,0.1,61.13995827627721,8.574104379746977,25.017939839098187,2.5135469733306013,0.7557183702786764
2,0.2,60.07205153890691,13.595752706434453,34.8308276055726,2.5583060632031662,0.7687504688898722
3,0.3,61.786645345292904,14.698914805834029,40.865141127092244,2.6480523429978806,0.7900107701619467
4,0.4,63.5010859808904,14.984049975147897,37.765394390532464,2.6891308748166067,0.8017600576082865
5,0.5,64.1417993891549,16.20532649982677,46.29030306432762,2.791186071474074,0.8201166987419128
6,0.6,67.3579264351337,14.77737207482962,43.07318934135967,2.883251132087438,0.8409052491188049
7,0.7,68.35736583004781,15.189263863399908,61.333336432774864,2.978750476384297,0.8566634058952332
8,0.8,71.28445959814111,12.932617511279211,55.519893964131676,3.080425807159133,0.8736262321472168
9,0.9,73.49900285816692,11.288592568424725,52.90287832419077,3.1863052725983834,0.8875705599784851
10,1.0,75.14329127263481,10.337574948300311,49.46392085037979,3.3110245140468053,0.9004318912823995
