,Trainer,Calib,Train,Valid,Domain,Uncalibrated,TS Source,TS Oracle,HB,Isotonic,Beta abm,Beta am,Beta ab,CPCS,TransCal,HB TopLabel,TS,Cluster NN,Cluster LR,Cluster Ensem,CaliGen 0,CaliGen TS 0,CaliGen Ensem 0,CaliGen 0.1,CaliGen TS 0.1,CaliGen Ensem 0.1,CaliGen 0.2,CaliGen TS 0.2,CaliGen Ensem 0.2,CaliGen 0.3,CaliGen TS 0.3,CaliGen Ensem 0.3,CaliGen 0.4,CaliGen TS 0.4,CaliGen Ensem 0.4,CaliGen 0.5,CaliGen TS 0.5,CaliGen Ensem 0.5,CaliGen 0.6,CaliGen TS 0.6,CaliGen Ensem 0.6,CaliGen 0.7,CaliGen TS 0.7,CaliGen Ensem 0.7,CaliGen 0.8,CaliGen TS 0.8,CaliGen Ensem 0.8,CaliGen 0.9,CaliGen TS 0.9,CaliGen Ensem 0.9,CaliGen 1.0,CaliGen TS 1.0,CaliGen Ensem 1.0
0,Art,Product_RealWorld,True,False,Art,0.0032635808757009,0.0032745523870387,0.0032783541014185,0.1636752001247258,0.4877354403923989,0.0592528287538355,0.0067353979992481,0.0945560650875957,0.0038332415614197,0.0032635808757009,0.1100757487591466,0.0035111580614317,0.0035805994279292,0.0037548352564535,0.0034148863186985,0.14551856,0.14941402,0.0105572888011623,0.10533277,0.10318239,0.0078529125730716,0.07561974,0.06421313,0.0063175252515611,0.06459323,0.0453114,0.0056328140991985,0.05389175,0.027374431,0.0053647165396954,0.057085253,0.025258426,0.0056107291302625,0.056461543,0.02053118,0.0056252067265853,0.05562771,0.015910957,0.0056391128537446,0.061021507,0.020031357,0.0058968379980463,0.06299171,0.02822111,0.0060637315996218,0.060609132,0.048759043,0.0060484053405628
1,Art,Product_RealWorld,False,False,Clipart,1.11730126932232,1.0029493814717356,0.9078716213448284,0.9849428028016856,0.9553546194622224,0.9306470746916184,0.9335657412036932,1.0462122350133416,0.9368736570370504,1.11730126932232,0.997879607113547,0.9511056233924328,0.9498761230370104,0.9378081958421518,0.9451132650267962,0.9629491,1.0376482,0.9131248745636074,0.930902,1.0257353,0.9100742189101328,0.89416397,1.0181124,0.9033040681796694,0.88423586,1.0310016,0.90485005208165,0.8833504,1.0479237,0.9065642582374872,0.8800936,1.0272335,0.9072991864568036,0.88476896,1.0040867,0.9117180463668112,0.89698297,0.99490654,0.9192356608366984,0.8990938,0.9615116,0.9192604599188136,0.9154891,0.9561839,0.928345870153662,0.9289606,0.9392228,0.9355834342549364
2,Art,Product_RealWorld,False,True,Product,0.9511231355200692,0.8623261982760025,0.8234249470128528,0.8866435944114942,0.8266683947621638,0.8019292947344514,0.804924876976032,0.9009229911654096,0.8248135633136684,0.9511231355200692,0.8948998357367651,0.8308451240233378,0.8265152750399014,0.8240335658621352,0.8256430631234503,0.51823145,0.53950363,0.6077607580231581,0.5271906,0.5465224,0.6471921331838523,0.5471988,0.56711113,0.6793014035964892,0.5751804,0.59345233,0.7034051913678185,0.6078652,0.6195009,0.724147783922863,0.6523448,0.6613468,0.7456389249260629,0.6877108,0.6939225,0.7618159960322541,0.72790784,0.73879284,0.7791382990538991,0.7658918,0.7776028,0.7950348407533483,0.79751354,0.80883133,0.8095789520245459,0.8304124,0.8340834,0.8264554425961169
3,Art,Product_RealWorld,False,True,RealWorld,0.7655875803185461,0.7132416191967489,0.7052972863356542,0.7533228160047583,0.705111937401796,0.6822069128451806,0.6817568245659829,0.7367593207291337,0.707867200931083,0.7655875803185461,0.7390276814884146,0.7054607451681439,0.6980422692943528,0.6976058069038451,0.6986591126094539,0.55705154,0.5818695,0.5763752214158978,0.5531349,0.5778247,0.594244422418712,0.55886275,0.5873171,0.6109822776401503,0.570258,0.59588325,0.6253111542024472,0.5856543,0.6122,0.6381025292973604,0.607543,0.62416244,0.6505470523733412,0.6281121,0.63241255,0.662088018939597,0.65292585,0.6488808,0.6746040320055557,0.6807548,0.67446697,0.6878355430044415,0.7029873,0.69567215,0.6988155446796724,0.72828805,0.7262548,0.7119386245811946
4,Art,Clipart_RealWorld,True,False,Art,0.0032635808757009,0.0032745523870387,0.0032783541014185,0.1847827205187429,0.4937723284348104,0.0515031321040336,0.0131140602828452,0.0740970490874821,0.0048649344110871,0.0032636947811533,0.0846517999586485,0.0043072675137984,0.0062514030701323,0.0063249871991863,0.0042558687710451,0.13970667,0.14019686,0.0199484712400268,0.09771402,0.0930621,0.0122511485752447,0.078180626,0.06594118,0.0099509338392394,0.065487556,0.044747613,0.0087382557708628,0.06120388,0.035318773,0.0084082154207582,0.061908256,0.023324138,0.0085508183523742,0.06586546,0.018444076,0.0091622234030427,0.07190907,0.022226907,0.0098078860618388,0.079834074,0.027613482,0.0105952198858679,0.080377474,0.038381826,0.0109177421577146,0.08209482,0.0619259,0.0111087741906044
5,Art,Clipart_RealWorld,False,True,Clipart,1.11730126932232,1.0029493814717356,0.9078716213448284,0.9470449974823985,0.9033476360733036,0.8855389471820192,0.8852235144110351,1.020792276944606,0.9231708923884464,1.0158473680488362,0.983052227425304,0.928293842728758,0.9087708140361864,0.8992803549887833,0.908285443944848,0.6878246,0.7116746,0.7498246589249098,0.67972946,0.70648146,0.7754393086797655,0.69453114,0.7190856,0.7998648438623461,0.72491205,0.74338186,0.8230178517589364,0.74785477,0.76499474,0.8378137825822085,0.7799092,0.7949141,0.8525867975469238,0.81382334,0.8276947,0.8674655678262553,0.84016085,0.85034096,0.8791365036496097,0.8663338,0.8779063,0.8906086330818781,0.889315,0.8997513,0.9027753629874412,0.90948105,0.9133032,0.9131179600303042
6,Art,Clipart_RealWorld,False,False,Product,0.9511231355200692,0.8623261982760025,0.8234249470128528,0.9202992896673914,0.8389768245462721,0.8159085899652665,0.8100425019538715,0.9128143090072662,0.8216359680913188,0.8714005167098275,0.9027654521201038,0.822376912802342,0.8284302363806677,0.8347556529050288,0.8251795588159186,0.75187457,0.7911286,0.735383373682964,0.72633106,0.7815448,0.7400694758894529,0.7219638,0.7905338,0.7504672218726168,0.72649723,0.8039339,0.7610198954077163,0.7351047,0.818758,0.7696464658201813,0.7488593,0.82368773,0.778941468547453,0.76214087,0.81456363,0.7872059859182123,0.78035736,0.8158911,0.7969474301986582,0.7988225,0.81805193,0.8058045648423819,0.81820214,0.8263302,0.8158122683791109,0.8377737,0.8400281,0.8259375200385248
7,Art,Clipart_RealWorld,False,True,RealWorld,0.7655875803185461,0.7132416191967489,0.7052972863356542,0.7747322653595611,0.7148024279996555,0.6960261875842908,0.6960081661163516,0.7478852882080194,0.7147627404930428,0.7173849326389357,0.7518865121301236,0.7114024011031256,0.7080579283016138,0.710412932084981,0.7056474532653612,0.58062035,0.60065234,0.5895500045445228,0.5735881,0.59986436,0.6039511910653707,0.575848,0.5999459,0.6199550159489352,0.5935593,0.6194032,0.6370065239039856,0.6021067,0.6258101,0.6460434676878047,0.620079,0.6305393,0.6586024710591116,0.641874,0.6380661,0.6712449549814468,0.66406876,0.6579871,0.6828027336487413,0.6898141,0.6792921,0.695660908021851,0.7101556,0.7002138,0.7061507438257324,0.735105,0.73098975,0.7188485909040302
8,Art,Clipart_Product,True,False,Art,0.0032635808757009,0.0032745523870387,0.0032783541014185,0.2468513317313609,0.5296415060144479,0.102028438120384,0.0269227664354182,0.085348158051699,0.0069824653129364,0.0032604578212647,0.1090959866448666,0.0050936450567132,0.0071038327645723,0.0067859355735683,0.0047867377036322,0.19729081,0.20041886,0.0278539012557779,0.14896807,0.14259681,0.0186218436044074,0.11461772,0.10386275,0.0143934647486509,0.099735595,0.07344912,0.0123930937152165,0.0911575,0.055428445,0.0123268837544255,0.09126438,0.04200824,0.0128943517221905,0.09730187,0.039424043,0.0139638171291735,0.10853628,0.044394813,0.0156511691003085,0.11688777,0.051486097,0.0173317443206479,0.12580931,0.072103955,0.0188764200248117,0.11930791,0.10512729,0.0188908086647441
9,Art,Clipart_Product,False,True,Clipart,1.11730126932232,1.0029493814717356,0.9078716213448284,0.9482427822844528,0.9062249542462176,0.8870188472838733,0.8867715474225466,1.01784569267204,0.9152459553345396,1.1040301204808824,0.9671931614967016,0.921728445080602,0.9069557292195488,0.9015051722135508,0.9068656394516348,0.68398464,0.7067245,0.7399865112208099,0.6874935,0.71869385,0.7812434868165847,0.7003903,0.7235084,0.8023500870008908,0.72046,0.74149674,0.820094969302629,0.74885577,0.7638413,0.8360530003712991,0.7806665,0.7963095,0.8518721614739599,0.81416523,0.8308752,0.8665644620712378,0.8429977,0.85784656,0.8784334699276337,0.869912,0.88453436,0.890791828283341,0.8921383,0.90083855,0.9013882332640394,0.91461086,0.9168903,0.9137119119605212
