Trainer,Calib,Train,Valid,Domain,Uncalibrated,TS Source,TS Oracle,TS,Cluster NN,Cluster LR,Cluster Ensem,CPCS,TransCal,HB TopLabel
Art,Product_RealWorld,True,False,Art,0.08473038991560265,0.08513076307116452,0.12165535464316653,0.09301849235960194,0.08473038991560265,0.08473038991560265,0.07854991108889982,0.10530963938850336,0.09529701732827166,0.7970666881845061
Art,Product_RealWorld,False,False,Clipart,1.7491494962262102,1.6304407481357768,1.0130327341889989,1.4462895486895686,1.7491494962262102,1.7491494962262102,1.62211877831026,1.392322001988369,1.4229988973465626,1.6807794923995916
Art,Product_RealWorld,False,True,Product,2.179997397719494,2.049365739015654,1.4245332863548668,1.622659107491166,2.179997397719494,2.179997397719494,2.095069673188627,1.5053133768829396,1.4428000659840965,1.5571848424751664
Art,Product_RealWorld,False,True,RealWorld,1.6970968387788075,1.798781299280711,1.343735112392893,1.4296902506213096,1.6970968387788075,1.6970968387788075,1.6811450735439195,1.4587841402851762,1.5762411901533733,1.4616257193740312
Art,Clipart_RealWorld,True,False,Art,0.08473038991560265,0.08513076307116452,0.12165535464316653,0.12348409869677202,0.08473038991560265,0.08473038991560265,0.08939237628067681,0.13549863883158947,0.3618604179975901,0.7794091381047444
Art,Clipart_RealWorld,False,True,Clipart,1.7491494962262102,1.6304407481357768,1.0130327341889989,1.442281330366466,1.7491494962262102,1.7491494962262102,1.5437738543962156,0.8335291628176731,1.6348120751118929,1.5765638449803114
Art,Clipart_RealWorld,False,False,Product,2.179997397719494,2.049365739015654,1.4245332863548668,1.2681910583222173,2.179997397719494,2.179997397719494,2.004159712936475,1.5145378806795484,2.2981331320562397,1.6938247949839698
Art,Clipart_RealWorld,False,True,RealWorld,1.6970968387788075,1.798781299280711,1.343735112392893,1.6143709315053043,1.6970968387788075,1.6970968387788075,1.754297116138261,1.5104491354631,1.6114040668472034,1.5230909302417286
Art,Clipart_Product,True,False,Art,0.08473038991560265,0.08513076307116452,0.12165535464316653,0.13256304555968243,0.08473038991560265,0.08473038991560265,0.08934488143000016,0.18647343719067655,0.10290959667362273,0.9057061422324915
Art,Clipart_Product,False,True,Clipart,1.7491494962262102,1.6304407481357768,1.0130327341889989,1.0038392895392414,1.7491494962262102,1.7491494962262102,1.5512296629330926,0.8370132910032951,1.4519349916931028,1.541106020956105
Art,Clipart_Product,False,True,Product,2.179997397719494,2.049365739015654,1.4245332863548668,1.6348712093574742,2.179997397719494,2.179997397719494,1.9202903689309514,1.7438072632453678,1.3702004867017537,1.323756411326006
Art,Clipart_Product,False,False,RealWorld,1.6970968387788075,1.798781299280711,1.343735112392893,1.660477846599081,1.6970968387788075,1.6970968387788075,1.7187792114055978,1.5890598336938024,1.5572258885733192,1.5079477805719788
Clipart,Product_RealWorld,False,False,Art,1.5668462329144277,1.432844846936533,0.7778807527377245,1.2130999477926085,1.5668462329144277,1.5668462329144277,1.517643468936493,1.2090275828064636,1.4228345499918216,1.6284839583915682
Clipart,Product_RealWorld,True,False,Clipart,0.21375118499396464,0.25667408520061896,0.1419399219432874,0.33736717936508887,0.21375118499396464,0.21375118499396464,0.1715079645611905,0.3338979902198893,0.24001384310682347,0.9540551879044178
