,Rho,Error,ECE,MCE,Loss,Brier
0,0.0,55.075558512485195,4.1680774606548665,11.384918002827732,2.264205071849318,0.7031728227933248
1,0.1,52.527110788536966,4.715357935700597,12.285662891880134,2.1653758132992986,0.6715558966000875
2,0.2,52.13934978909475,4.480344172110416,21.889186138055518,2.159024039292715,0.6685011188189188
3,0.3,50.7136392859463,5.86560286753553,16.46920214775678,2.0984904410197687,0.663864811261495
4,0.4,53.60734214587967,6.359580799756595,17.94546977737738,2.188987909098474,0.6879706978797913
5,0.5,54.644395610303555,7.810974378078729,22.0574192693572,2.2031365657499564,0.7021152774492899
6,0.6,55.59391723733169,8.24633808031224,17.425787903289574,2.250571279276316,0.7135804494222006
7,0.7,57.06347766286074,9.151782558119404,21.53205619917976,2.3303957450532713,0.7383784651756287
8,0.8,60.38862343725149,7.999832110405207,25.814053577090068,2.4234432066647753,0.758889893690745
9,0.9,63.541953679249296,6.90612860647519,25.369015529751778,2.534756713004623,0.7811783750851949
10,1.0,69.19971371544929,5.705933593854673,29.01575041313966,2.8643691111022274,0.8212921619415283
