Trainer,Calib,Train,Valid,Domain,Uncalibrated,TS Source,TS Oracle,HB,Isotonic,Beta abm,Beta am,Beta ab,TS,Cluster NN,Cluster LR,Cluster Ensem,CaliGen 0,CaliGen TS 0,CaliGen Ensem 0,CaliGen 0.1,CaliGen TS 0.1,CaliGen Ensem 0.1,CaliGen 0.2,CaliGen TS 0.2,CaliGen Ensem 0.2,CaliGen 0.3,CaliGen TS 0.3,CaliGen Ensem 0.3,CaliGen 0.4,CaliGen TS 0.4,CaliGen Ensem 0.4,CaliGen 0.5,CaliGen TS 0.5,CaliGen Ensem 0.5,CaliGen 0.6,CaliGen TS 0.6,CaliGen Ensem 0.6,CaliGen 0.7,CaliGen TS 0.7,CaliGen Ensem 0.7,CaliGen 0.8,CaliGen TS 0.8,CaliGen Ensem 0.8,CaliGen 0.9,CaliGen TS 0.9,CaliGen Ensem 0.9,CaliGen 1.0,CaliGen TS 1.0,CaliGen Ensem 1.0
Art,Product_RealWorld,True,False,Art,3.7668753924814515,11.164211804991911,1.6535090163514532,9.28357463275284,8.239671092218058,17.759659571078735,14.73421492951906,19.788182742719766,17.95361725180133,15.812566730557444,15.18396699770992,15.971017398243685,9.571337545439603,4.952608965486288,18.039188543084524,16.176211053207517,4.0659006452560424,20.216805835208802,22.488155473843214,3.6707259784638877,22.768042199051322,27.63280923016369,3.753618306219578,24.616954799683718,31.0801246361807,4.576326273232698,26.015815284679956,34.46299174260348,7.483760304600002,27.287605840246147,37.09040111660957,10.333802596852184,28.414977296543157,38.148898885101076,15.019233080968263,28.941466352908286,38.60357586000114,19.269840652495617,29.923362290408733,37.88629784014076,23.488614621497693,30.25243047539263,35.00977819148451,28.23046367492527,30.64328942403845
Art,Product_RealWorld,False,False,Clipart,27.361748163683888,14.46011240023164,5.540521860644242,16.310017326239443,11.159808341836461,7.992588016286712,8.188673595619086,21.64289867190068,8.1500148602125,8.890889773770803,9.086994358284022,8.838812254394767,11.936039813458919,25.5108246511966,8.104798830386562,7.143152014054358,25.457117806077,6.483684459732864,5.638266741782428,24.896850656569008,5.8520122867292175,6.622448279075324,23.178445225954057,5.889031215549726,7.143287826962769,23.064059501066804,5.80409201135703,8.092593670897184,20.567823088690638,5.614686117742127,8.430133636258542,18.191445555165412,5.5157842720079415,7.367928521819413,15.097886421009898,5.462253847748903,6.877635401375592,12.326329701840878,5.676583882221744,6.049372444748878,9.47339986167848,5.748551325173069,5.608890873640775,6.925458242073655,5.894104264004556
Art,Product_RealWorld,False,True,Product,25.12390725796219,12.697901111092303,5.769963696437092,12.750698365263522,8.614514381344225,6.349422930703233,5.928588837799429,17.988779977672937,7.401790547681597,7.378891008857421,7.0265793003616395,6.996162527272382,4.881653700545431,11.519602358192206,6.596872456506138,7.64068243689835,11.7193293556571,6.602164138379193,10.942138644382357,12.2922236071527,7.007382995470261,14.417411687672137,12.2556544752419,7.973832118048773,16.216853760443627,11.809135155826805,7.79489859040291,17.551505076773463,10.589437163174155,7.381250876551723,16.635302777886388,9.897644718810914,7.20022161865077,13.967426977045832,9.463240771442651,6.331563652197009,11.468293718099595,8.428198110684752,6.805956492338711,8.880750681720672,7.447701248377562,6.084419174464477,6.94237447194755,6.257626915276051,6.219490609263612
Art,Product_RealWorld,False,True,RealWorld,19.731727015277404,8.939430931178096,5.855376978091489,11.45009772534154,8.51710352801441,6.2703575806534335,6.372792254907191,12.160395001149434,5.092913707102416,5.5231327622713655,5.72406853172321,5.715158461371873,5.31304289907217,13.02705284200609,5.823388413141209,7.14959835447371,12.680257190838457,7.110645469303856,10.633331240564585,13.34818719036877,7.435511911483222,13.801470666304226,12.359136099740862,8.355303394589868,14.841140804924072,12.26996151700616,8.371004364485477,16.10982524175197,11.257988135218621,8.87610758468855,16.19978466849774,9.616004629135132,8.658314939259217,15.036140798479318,8.545720807760954,8.237625709591557,13.717285833880302,7.477307323440909,8.174370273207947,12.096780597232284,6.869953963831067,7.909678934722345,8.974978594444691,6.4151146250218165,6.828104455713711
Art,Clipart_RealWorld,True,False,Art,3.7668753924814515,11.164211804991911,1.6535090163514532,10.385572982992183,9.443051573516714,17.951360460947736,16.163560627670684,18.178709672533152,21.1860850991667,17.948847771302006,17.06017784711542,17.929091066883995,11.53964294463396,4.320753811448813,20.346754396089214,18.945394593551754,3.671342035681009,23.067775722459896,23.663185318633914,3.8593693440407515,24.962515008483912,27.080655343532563,4.166477716118099,26.492775067250705,33.12606881860644,6.13466054841876,28.407385018249744,35.82979798533022,8.65008328139782,29.63248869396336,38.465409686304625,12.711728726625442,31.08694423393368,39.989524605609475,16.321664342731236,32.276363252274834,39.696321313977236,21.20828794814646,32.443898587414765,39.0430090103671,25.772795736528927,33.12931336121825,38.19588831193745,30.90819104153663,33.17163920046367
Art,Clipart_RealWorld,False,True,Clipart,27.361748163683888,14.46011240023164,5.540521860644242,12.182232621448273,9.766912149439168,6.45310388459839,5.806209270862487,21.220060254356433,6.576737087170875,6.639588088804085,6.43658115080309,6.596964809202072,5.49329535048455,14.849528625011445,6.292793123460665,7.75453599166125,14.05337680131197,6.792609164120604,11.287002864778042,14.152508644014597,7.073941296255991,14.015177852064369,12.613431331291796,7.356693836920391,16.13519258808345,12.703261734694243,6.917247823368899,15.874876507557929,11.656381884664297,7.131995691740667,14.706094319522379,10.330640821829439,7.0037707529179425,13.619587886743247,9.276262431070208,6.701858181554277,10.809881136268377,8.33565379664302,5.7428383467541,8.702162147201596,6.909307135529817,5.894807370311579,7.366725421920419,5.54431785143912,5.652624611621604
Art,Clipart_RealWorld,False,False,Product,25.12390725796219,12.697901111092303,5.769963696437092,12.99706020593501,10.46441706043172,7.942781614881683,6.689112830098279,18.79337302783906,6.178263179545279,6.330621998352626,6.271751534678613,6.514858556113242,7.130640500634908,19.709790941849352,5.1982426704853095,5.878222341537477,20.145046260654926,5.880180665735163,6.255779186114668,20.24670189656317,5.514204440589025,7.793774348199366,18.467168920710684,6.348954350102948,9.32472347702831,18.307208168581127,6.841648016996035,10.021592093594371,16.820659199431535,7.384329418134984,10.865691714398562,13.420441213324665,7.2250423537475825,11.489901982024312,11.050049149468542,6.839603532017838,9.501696550622585,8.571410414129495,6.382027125924372,7.753377432487905,7.307754208371044,6.094189339387762,8.482472816705704,6.469678651802242,6.476816438413296
Art,Clipart_RealWorld,False,True,RealWorld,19.731727015277404,8.939430931178096,5.855376978091489,11.056023787283596,10.484267492498489,7.721840886887696,7.026678708317891,12.457809886415118,5.633298239407249,5.468441581039955,5.679224778749367,5.515481416457041,5.470347113087774,12.88308568969369,6.533069720332255,7.446809444688261,13.251939661353825,7.805743366656732,10.129736878350377,12.941520603746175,8.491983225506933,13.127381630018354,12.03097633898258,8.880522653064777,15.493769651316109,11.673348677456378,10.133531832763598,15.943808847330507,10.768642944544556,9.981810617170435,16.687982395812867,8.658204320967197,9.72267589590518,16.704597930684688,7.371120321452617,10.560992227401812,14.603293512277304,5.917034024000166,9.363261559459996,12.945990204326808,6.28316146504134,9.290282376059753,10.939611363708973,6.566930286139249,9.039850463367042
Art,Clipart_Product,True,False,Art,3.7668753924814515,11.164211804991911,1.6535090163514532,9.349515182208116,9.45799705897751,20.28499460766094,18.180714624835083,18.718404513338065,23.762863430332093,22.156129503021223,23.599003261509914,22.941335857583532,13.691730092950166,4.559107897654176,23.581774444146298,21.85937302459031,4.763852879554034,27.861926852436234,27.591500410325825,4.118969912901521,29.98442522936076,32.8832935218513,4.895265934541823,32.39240632048219,37.958368962742384,6.415595793798566,34.16766529240297,40.891378477253014,9.559661423787475,35.29822302977599,43.98139409586786,13.12017366208136,36.69286972153302,45.86939480535686,18.344362133815885,38.24208672058484,44.6636455590278,23.66272727668285,39.040118402750544,44.182722393460566,28.975899356640877,39.84775833087276,42.72578909389675,35.69052656475454,39.99478786160147
Art,Clipart_Product,False,True,Clipart,27.361748163683888,14.46011240023164,5.540521860644242,9.761830345566256,8.6030778497711,6.877336627431594,5.802530345664386,20.3576626282274,5.871315853451333,5.911341098849155,5.865788820211732,6.135373146096726,6.051244989410042,14.137808568477633,6.364268141961678,9.64613059449941,13.062528226301074,7.613203819720612,12.744910151809455,13.6146560934186,8.157343829609022,15.908923626169562,12.883714733049274,8.484029687713178,17.872580293267966,12.625640884041786,8.587737158549384,17.11576007064432,12.280248761326074,8.125831992262773,17.01226540338248,10.713818796500565,7.656597710648185,15.376754950471224,9.42689776778221,7.650323710954453,12.048253993280232,8.485527811273931,6.69035713859177,10.027969800196589,7.134475355781615,6.467309491938162,7.344089315384627,5.752892264463008,6.2617634195761
