Trainer,Calib,Train,Valid,Domain,Uncalibrated,TS Source,TS Oracle,HB,Isotonic,Beta abm,Beta am,Beta ab,TS,Cluster NN,Cluster LR,Cluster Ensem,CaliGen 0,CaliGen TS 0,CaliGen Ensem 0,CaliGen 0.1,CaliGen TS 0.1,CaliGen Ensem 0.1,CaliGen 0.2,CaliGen TS 0.2,CaliGen Ensem 0.2,CaliGen 0.3,CaliGen TS 0.3,CaliGen Ensem 0.3,CaliGen 0.4,CaliGen TS 0.4,CaliGen Ensem 0.4,CaliGen 0.5,CaliGen TS 0.5,CaliGen Ensem 0.5,CaliGen 0.6,CaliGen TS 0.6,CaliGen Ensem 0.6,CaliGen 0.7,CaliGen TS 0.7,CaliGen Ensem 0.7,CaliGen 0.8,CaliGen TS 0.8,CaliGen Ensem 0.8,CaliGen 0.9,CaliGen TS 0.9,CaliGen Ensem 0.9,CaliGen 1.0,CaliGen TS 1.0,CaliGen Ensem 1.0
Art,Product_RealWorld,True,False,Art,3.800000000000003,3.800000000000003,3.800000000000003,24.03,35.589999999999996,3.2200000000000024,2.9700000000000033,5.440000000000003,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,21.07,21.07,5.4600000000000035,18.499999999999996,18.499999999999996,5.2500000000000036,16.05,16.05,4.7000000000000055,14.240000000000004,14.240000000000004,4.480000000000004,12.870000000000001,12.870000000000001,4.230000000000002,11.95,11.95,4.1300000000000034,11.9,11.9,4.330000000000002,11.899999999999999,11.899999999999999,4.560000000000005,13.09,13.09,4.6300000000000034,14.810000000000002,14.810000000000002,5.090000000000003,17.810000000000006,17.810000000000006,5.2900000000000045
Art,Product_RealWorld,False,False,Clipart,64.09,64.09,64.09,70.59,63.410000000000004,61.21,61.52,64.17999999999999,64.09,64.09,64.09,64.09,57.260000000000005,57.260000000000005,57.669999999999995,56.210000000000015,56.210000000000015,58.02000000000002,56.55999999999999,56.55999999999999,59.32000000000001,55.61999999999999,55.61999999999999,59.19,57.18000000000001,57.18000000000001,60.269999999999996,57.999999999999986,57.999999999999986,60.969999999999985,59.94000000000001,59.94000000000001,61.80000000000001,61.68000000000001,61.68000000000001,62.45,63.93999999999998,63.93999999999998,62.89,65.57000000000001,65.57000000000001,63.669999999999995,67.25999999999998,67.25999999999998,64.76
Art,Product_RealWorld,False,True,Product,59.06999999999999,59.06999999999999,59.06999999999999,62.120000000000005,55.1,53.3,53.42999999999999,58.49000000000001,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,31.109999999999992,31.109999999999992,38.18999999999999,31.560000000000002,31.560000000000002,41.940000000000005,33.33,33.33,44.660000000000004,34.51,34.51,46.24999999999999,36.41,36.41,47.980000000000004,38.86,38.86,50.17,42.78000000000001,42.78000000000001,52.31,47.49,47.49,54.55,52.14,52.14,55.5,56.53000000000001,56.53000000000001,57.13000000000001,60.580000000000005,60.580000000000005,58.95000000000001
Art,Product_RealWorld,False,True,RealWorld,48.94,48.94,48.94,54.980000000000004,49.32,45.08,44.89000000000001,48.65999999999999,48.94,48.94,48.94,48.94,35.349999999999994,35.349999999999994,37.25,34.11000000000001,34.11000000000001,38.96999999999999,34.88999999999999,34.88999999999999,40.190000000000005,35.209999999999994,35.209999999999994,40.92999999999999,37.08,37.08,42.32000000000001,38.28,38.28,43.17,40.78,40.78,44.65,43.1,43.1,45.79,46.039999999999985,46.039999999999985,47.0,48.89999999999999,48.89999999999999,48.1,52.36,52.36,49.50000000000001
Art,Clipart_RealWorld,True,False,Art,3.800000000000003,3.800000000000003,3.800000000000003,21.869999999999997,33.18,2.9400000000000035,3.1400000000000032,4.480000000000005,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,20.79,20.79,5.440000000000002,17.21,17.21,4.990000000000004,15.770000000000005,15.770000000000005,4.960000000000006,15.200000000000003,15.200000000000003,4.820000000000006,12.61,12.61,4.640000000000003,12.359999999999998,12.359999999999998,4.790000000000005,11.639999999999997,11.639999999999997,4.410000000000006,12.7,12.7,4.730000000000006,13.430000000000001,13.430000000000001,5.110000000000003,15.120000000000001,15.120000000000001,5.1700000000000035,16.430000000000003,16.430000000000003,5.650000000000006
Art,Clipart_RealWorld,False,True,Clipart,64.09,64.09,64.09,68.05,60.16000000000001,59.77000000000002,60.4,63.94999999999999,64.09,64.09,64.09,64.09,42.72,42.72,48.3,42.44,42.44,50.949999999999996,43.1,43.1,52.96,43.95,43.95,54.39,45.68,45.68,55.919999999999995,49.02999999999999,49.02999999999999,57.1,52.48,52.48,58.65999999999999,56.129999999999995,56.129999999999995,60.21,59.489999999999995,59.489999999999995,61.910000000000004,63.249999999999986,63.249999999999986,63.17999999999999,65.94,65.94,64.17999999999998
Art,Clipart_RealWorld,False,False,Product,59.06999999999999,59.06999999999999,59.06999999999999,63.23,56.989999999999995,54.410000000000004,54.54,58.82000000000001,59.06999999999999,59.06999999999999,59.06999999999999,59.06999999999999,47.81,47.81,48.739999999999995,48.72999999999999,48.72999999999999,50.019999999999996,48.71,48.71,51.32000000000001,48.67999999999999,48.67999999999999,51.910000000000004,50.239999999999995,50.239999999999995,52.73,51.910000000000004,51.910000000000004,54.19000000000001,52.77,52.77,54.92,54.54,54.54,56.580000000000005,57.29999999999999,57.29999999999999,57.52,60.410000000000004,60.410000000000004,58.629999999999995,60.64,60.64,59.05
Art,Clipart_RealWorld,False,True,RealWorld,48.94,48.94,48.94,55.08,49.78000000000001,44.81999999999999,44.94,48.57,48.94,48.94,48.94,48.94,36.87,36.87,38.49999999999999,37.43,37.43,40.010000000000005,37.64000000000001,37.64000000000001,41.00000000000001,37.339999999999996,37.339999999999996,42.11,38.480000000000004,38.480000000000004,42.63,40.519999999999996,40.519999999999996,44.269999999999996,41.60000000000001,41.60000000000001,45.279999999999994,43.959999999999994,43.959999999999994,45.79,46.6,46.6,47.31,49.379999999999995,49.379999999999995,48.21999999999999,51.9,51.9,49.33
Art,Clipart_Product,True,False,Art,3.800000000000003,3.800000000000003,3.800000000000003,30.9,44.00999999999999,3.2800000000000025,3.4000000000000035,7.659999999999997,3.800000000000003,3.800000000000003,3.800000000000003,3.800000000000003,23.130000000000003,23.130000000000003,6.170000000000001,20.6,20.6,5.200000000000005,18.73,18.73,5.030000000000006,17.279999999999998,17.279999999999998,4.480000000000002,15.500000000000004,15.500000000000004,4.340000000000003,15.470000000000002,15.470000000000002,4.880000000000005,15.310000000000006,15.310000000000006,5.010000000000003,15.810000000000002,15.810000000000002,4.990000000000006,18.47,18.47,5.350000000000003,20.229999999999997,20.229999999999997,5.520000000000003,22.419999999999998,22.419999999999998,6.209999999999999
Art,Clipart_Product,False,True,Clipart,64.09,64.09,64.09,68.01999999999998,61.34000000000001,59.19999999999999,59.86,63.69,64.09,64.09,64.09,64.09,41.75000000000001,41.75000000000001,48.7,40.98,40.98,50.65,42.94000000000001,42.94000000000001,52.63000000000001,43.72,43.72,54.339999999999996,45.89,45.89,55.86999999999999,49.33,49.33,57.15999999999999,52.11,52.11,59.06,56.040000000000006,56.040000000000006,60.31,60.5,60.5,62.19000000000001,64.44,64.44,63.53000000000001,67.61,67.61,64.86999999999998
