,Rho,Error,ECE,MCE,Loss,Brier
0,0.0,56.369067132918076,7.377641581416708,14.774042663632054,2.4948992748090517,0.7079535921414694
1,0.1,56.76610935052636,9.922482827850317,18.221848259041703,2.538192469367258,0.7180204391479492
2,0.2,57.576585436928575,11.60382692525471,19.951506020050108,2.599640230273683,0.7300052245457967
3,0.30000000000000004,58.243179251812194,13.323562013001157,23.571376504601215,2.6772105722191992,0.7431782682736715
4,0.4,59.37784577277529,13.430841040050487,23.372185382245465,2.7555786754704683,0.7547707557678223
5,0.5,60.97512111608932,13.126214941306372,22.377289239610615,2.8526149962825844,0.7679016391436259
6,0.6000000000000001,62.99129421192583,12.379665121109632,21.891428726679678,2.960603629483129,0.7818377812703451
7,0.7000000000000001,65.39176046333733,9.657749641294918,18.258059426488707,3.0693713883581855,0.7908751169840494
8,0.8,67.68841292390631,7.929721014271633,15.714795545950016,3.207000614047898,0.804756244023641
9,0.9,69.78290168651877,5.9011937495744675,15.195082336051675,3.362480790442341,0.8156565030415853
10,1.0,71.70983134812225,3.8319688929609295,10.602847110506138,3.5732563167186324,0.8286851048469543
