Trainer,Calib,Train,Valid,Domain,TS Source,TS Oracle,CPCS,TransCal,TS,Cluster NN,Cluster LR
Art,Product_RealWorld,True,False,Art,1.3443135399678603,0.7424693618579286,1.6169921874999997,2.000091821364649,1.5470839403968042,1.4817262436331995,1.4544326458070196
Art,Product_RealWorld,False,False,Clipart,1.3443135399678603,1.7504521264501918,1.6169921874999997,2.000091821364649,1.5470839403968042,1.542681526508362,1.5301134662137283
Art,Product_RealWorld,False,True,Product,1.3443135399678603,1.6545902502307974,1.6169921874999997,2.000091821364649,1.5470839403968042,1.548737054670285,1.5536638886605556
Art,Product_RealWorld,False,True,RealWorld,1.3443135399678603,1.4846414678641868,1.6169921874999997,2.000091821364649,1.5470839403968042,1.5302770945195152,1.5265521986945028
Art,Clipart_RealWorld,True,False,Art,1.3443135399678603,0.7424693618579286,1.6320312499999996,1.5767993048265512,1.63195258874909,1.5397929823928387,1.4879400609616908
Art,Clipart_RealWorld,False,True,Clipart,1.3443135399678603,1.7504521264501918,1.6320312499999996,1.5767993048265512,1.63195258874909,1.660609221732543,1.6924777473280972
Art,Clipart_RealWorld,False,False,Product,1.3443135399678603,1.6545902502307974,1.6320312499999996,1.5767993048265512,1.63195258874909,1.6348033418656098,1.6106820825003088
Art,Clipart_RealWorld,False,True,RealWorld,1.3443135399678603,1.4846414678641868,1.6320312499999996,1.5767993048265512,1.63195258874909,1.6070743623883819,1.57843646840808
Art,Clipart_Product,True,False,Art,1.3443135399678603,0.7424693618579286,1.7216796874999996,2.1833955612255096,1.6966320408149893,1.6542917012661005,1.6873547681438985
Art,Clipart_Product,False,True,Clipart,1.3443135399678603,1.7504521264501918,1.7216796874999996,2.1833955612255096,1.6966320408149893,1.684087552387736,1.6841533388984875
Art,Clipart_Product,False,True,Product,1.3443135399678603,1.6545902502307974,1.7216796874999996,2.1833955612255096,1.6966320408149893,1.6914466510546902,1.7056143651298676
Art,Clipart_Product,False,False,RealWorld,1.3443135399678603,1.4846414678641868,1.7216796874999996,2.1833955612255096,1.6966320408149893,1.6797422650757265,1.7080549047696025
Clipart,Product_RealWorld,False,False,Art,2.010652377759391,2.772477925878815,2.4026367187500015,1.910869949921692,2.288848651583538,2.2759520889207554,2.2847996628121914
Clipart,Product_RealWorld,True,False,Clipart,2.010652377759391,0.8942363058149972,2.4026367187500015,1.910869949921692,2.288848651583538,2.2702865539542834,2.249488521871071
Clipart,Product_RealWorld,False,True,Product,2.010652377759391,2.322087378700372,2.4026367187500015,1.910869949921692,2.288848651583538,2.285260328240674,2.272350091743772
Clipart,Product_RealWorld,False,True,RealWorld,2.010652377759391,2.3002896520250884,2.4026367187500015,1.910869949921692,2.288848651583538,2.286775661852083,2.2904030402322593
Clipart,Art_RealWorld,False,True,Art,2.010652377759391,2.772477925878815,2.542187500000002,2.344457383199659,2.4884805231681693,2.556739348827633,2.611247146528267
Clipart,Art_RealWorld,True,False,Clipart,2.010652377759391,0.8942363058149972,2.542187500000002,2.344457383199659,2.4884805231681693,2.4037115552068986,2.2217023197248684
Clipart,Art_RealWorld,False,False,Product,2.010652377759391,2.322087378700372,2.542187500000002,2.344457383199659,2.4884805231681693,2.4319827916656065,2.346249701608045
Clipart,Art_RealWorld,False,True,RealWorld,2.010652377759391,2.3002896520250884,2.542187500000002,2.344457383199659,2.4884805231681693,2.4917528725190525,2.4618590476699036
Clipart,Art_Product,False,True,Art,2.010652377759391,2.772477925878815,2.524902343750001,1.928538943476277,2.4691682864591087,2.5302946240456894,2.5741863248464503
Clipart,Art_Product,True,False,Clipart,2.010652377759391,0.8942363058149972,2.524902343750001,1.928538943476277,2.4691682864591087,2.452241773405322,2.3766937853433268
Clipart,Art_Product,False,True,Product,2.010652377759391,2.322087378700372,2.524902343750001,1.928538943476277,2.4691682864591087,2.464497759838392,2.4359178079923516
Clipart,Art_Product,False,False,RealWorld,2.010652377759391,2.3002896520250884,2.524902343750001,1.928538943476277,2.4691682864591087,2.475905188244744,2.479402612261188
Product,Clipart_RealWorld,False,False,Art,1.6453143692881305,2.611075584164796,2.556445312500002,1.279553476019807,2.45954232147176,2.448306821299112,2.4477105985143535
Product,Clipart_RealWorld,False,True,Clipart,1.6453143692881305,2.6828043549194693,2.556445312500002,1.279553476019807,2.45954232147176,2.506760214523954,2.54216735794311
Product,Clipart_RealWorld,True,False,Product,1.6453143692881305,0.6811348429309858,2.556445312500002,1.279553476019807,2.45954232147176,2.3933204061512763,2.3027297918701946
Product,Clipart_RealWorld,False,True,RealWorld,1.6453143692881305,2.0767373142468037,2.556445312500002,1.279553476019807,2.45954232147176,2.419563087335618,2.3671963660908877
Product,Art_RealWorld,False,True,Art,1.6453143692881305,2.611075584164796,2.5029296875000013,1.0543561333522713,2.3416772632172966,2.394896027976277,2.437132449424042
Product,Art_RealWorld,False,False,Clipart,1.6453143692881305,2.6828043549194693,2.5029296875000013,1.0543561333522713,2.3416772632172966,2.2627418177159453,2.1687039187494808
Product,Art_RealWorld,True,False,Product,1.6453143692881305,0.6811348429309858,2.5029296875000013,1.0543561333522713,2.3416772632172966,2.258453282378513,2.163565348515422
Product,Art_RealWorld,False,True,RealWorld,1.6453143692881305,2.0767373142468037,2.5029296875000013,1.0543561333522713,2.3416772632172966,2.317776263141689,2.292624645653279
Product,Art_Clipart,False,True,Art,1.6453143692881305,2.611075584164796,2.800097656250002,1.3539080207650889,2.7410370789991627,2.7399692276008634,2.7202700840711573
Product,Art_Clipart,False,True,Clipart,1.6453143692881305,2.6828043549194693,2.800097656250002,1.3539080207650889,2.7410370789991627,2.7640496447233476,2.772273518350181
Product,Art_Clipart,True,False,Product,1.6453143692881305,0.6811348429309858,2.800097656250002,1.3539080207650889,2.7410370789991627,2.6565983774034856,2.5313635042362104
Product,Art_Clipart,False,False,RealWorld,1.6453143692881305,2.0767373142468037,2.800097656250002,1.3539080207650889,2.7410370789991627,2.6929908793488413,2.6180641945449814
RealWorld,Clipart_Product,False,False,Art,1.814341307940305,2.2590842220052925,2.2504882812500004,1.9005753185681555,2.1877821816352254,2.2104935770649274,2.220294505427
RealWorld,Clipart_Product,False,True,Clipart,1.814341307940305,2.354999291171964,2.2504882812500004,1.9005753185681555,2.1877821816352254,2.179594084716287,2.1632852613577707
RealWorld,Clipart_Product,False,True,Product,1.814341307940305,1.997174313896125,2.2504882812500004,1.9005753185681555,2.1877821816352254,2.189208992550167,2.206328246514394
RealWorld,Clipart_Product,True,False,RealWorld,1.814341307940305,1.1185579425184602,2.2504882812500004,1.9005753185681555,2.1877821816352254,2.1955346105891502,2.206561275796225
RealWorld,Art_Product,False,True,Art,1.814341307940305,2.2590842220052925,2.1357421875,2.101255934665674,2.107894084263102,2.105804149402153,2.1048887141772257
RealWorld,Art_Product,False,False,Clipart,1.814341307940305,2.354999291171964,2.1357421875,2.101255934665674,2.107894084263102,2.0626267125166264,2.0353868046354675
RealWorld,Art_Product,False,True,Product,1.814341307940305,1.997174313896125,2.1357421875,2.101255934665674,2.107894084263102,2.0908930409132074,2.0917311531404597
RealWorld,Art_Product,True,False,RealWorld,1.814341307940305,1.1185579425184602,2.1357421875,2.101255934665674,2.107894084263102,2.0999914125138255,2.0939847971723835
RealWorld,Art_Clipart,False,True,Art,1.814341307940305,2.2590842220052925,2.625390625000002,2.07230344358144,2.5045951587368314,2.4671519418793055,2.430672807257045
RealWorld,Art_Clipart,False,True,Clipart,1.814341307940305,2.354999291171964,2.625390625000002,2.07230344358144,2.5045951587368314,2.5466631082978535,2.586373274851244
RealWorld,Art_Clipart,False,False,Product,1.814341307940305,1.997174313896125,2.625390625000002,2.07230344358144,2.5045951587368314,2.49015487539126,2.439425181066327
RealWorld,Art_Clipart,True,False,RealWorld,1.814341307940305,1.1185579425184602,2.625390625000002,2.07230344358144,2.5045951587368314,2.470746005884397,2.4188136326250103
