Trainer,Calib,Train,Valid,Domain,TS Source,TS Oracle,CPCS,TransCal,TS,Cluster NN,Cluster LR
Art,Product_RealWorld,True,False,Art,1.3443135399678603,0.7424693618579286,1.5705078124999998,1.3267725139306197,1.5045484922797432,1.434195922097515,1.4109911786487006
Art,Product_RealWorld,False,False,Clipart,1.3443135399678603,1.7504521264501918,1.5705078124999998,1.3267725139306197,1.5045484922797432,1.5138182399885567,1.5185823522409336
Art,Product_RealWorld,False,True,Product,1.3443135399678603,1.6545902502307974,1.5705078124999998,1.3267725139306197,1.5045484922797432,1.5233003234923477,1.527634011745359
Art,Product_RealWorld,False,True,RealWorld,1.3443135399678603,1.4846414678641868,1.5705078124999998,1.3267725139306197,1.5045484922797432,1.4923503690329833,1.4953763368280077
Art,Clipart_RealWorld,True,False,Art,1.3443135399678603,0.7424693618579286,1.5813476562499997,1.9743234697794574,1.5709811660363013,1.5215167311095243,1.4767136461122599
Art,Clipart_RealWorld,False,True,Clipart,1.3443135399678603,1.7504521264501918,1.5813476562499997,1.9743234697794574,1.5709811660363013,1.5883205986565012,1.618054473739019
Art,Clipart_RealWorld,False,False,Product,1.3443135399678603,1.6545902502307974,1.5813476562499997,1.9743234697794574,1.5709811660363013,1.5842625237502206,1.5839058745272274
Art,Clipart_RealWorld,False,True,RealWorld,1.3443135399678603,1.4846414678641868,1.5813476562499997,1.9743234697794574,1.5709811660363013,1.5697364613581477,1.5583480268629308
Art,Clipart_Product,True,False,Art,1.3443135399678603,0.7424693618579286,1.64296875,2.0104242082525174,1.619276375796845,1.5526857324824863,1.5272036899328991
Art,Clipart_Product,False,True,Clipart,1.3443135399678603,1.7504521264501918,1.64296875,2.0104242082525174,1.619276375796845,1.6256918747328193,1.6399540521275555
Art,Clipart_Product,False,True,Product,1.3443135399678603,1.6545902502307974,1.64296875,2.0104242082525174,1.619276375796845,1.631759272596998,1.6369148201043218
Art,Clipart_Product,False,False,RealWorld,1.3443135399678603,1.4846414678641868,1.64296875,2.0104242082525174,1.619276375796845,1.6103057393730746,1.6035487353677318
Clipart,Product_RealWorld,False,False,Art,2.010652377759391,2.772477925878815,2.2923828125000005,1.2236573224668343,2.207749955956764,2.201776148028497,2.2180646404906286
Clipart,Product_RealWorld,True,False,Clipart,2.010652377759391,0.8942363058149972,2.2923828125000005,1.2236573224668343,2.207749955956764,2.1876701368712625,2.173642965026521
Clipart,Product_RealWorld,False,True,Product,2.010652377759391,2.322087378700372,2.2923828125000005,1.2236573224668343,2.207749955956764,2.2045507904566746,2.200004343400624
Clipart,Product_RealWorld,False,True,RealWorld,2.010652377759391,2.3002896520250884,2.2923828125000005,1.2236573224668343,2.207749955956764,2.20381828965435,2.2118212729761524
Clipart,Art_RealWorld,False,True,Art,2.010652377759391,2.772477925878815,2.3438476562500004,1.18454814957328,2.3109022105991293,2.4006527247856964,2.4846206021767556
