Trainer,Calib,Train,Valid,Domain,Uncalibrated,TS Source,TS Oracle,HB,Isotonic,Beta abm,Beta am,Beta ab,CPCS,TransCal,HB TopLabel,TS,Cluster NN,Cluster LR,Cluster Ensem,CaliGen 0,CaliGen TS 0,CaliGen Ensem 0,CaliGen 0.1,CaliGen TS 0.1,CaliGen Ensem 0.1,CaliGen 0.2,CaliGen TS 0.2,CaliGen Ensem 0.2,CaliGen 0.3,CaliGen TS 0.3,CaliGen Ensem 0.3,CaliGen 0.4,CaliGen TS 0.4,CaliGen Ensem 0.4,CaliGen 0.5,CaliGen TS 0.5,CaliGen Ensem 0.5,CaliGen 0.6,CaliGen TS 0.6,CaliGen Ensem 0.6,CaliGen 0.7,CaliGen TS 0.7,CaliGen Ensem 0.7,CaliGen 0.8,CaliGen TS 0.8,CaliGen Ensem 0.8,CaliGen 0.9,CaliGen TS 0.9,CaliGen Ensem 0.9,CaliGen 1.0,CaliGen TS 1.0,CaliGen Ensem 1.0
Art,Product_RealWorld,True,False,Art,2.6703750220362616,2.591872376901402,2.5357687754913782,8.274002193810052,4.341472701108273,2.1726911779418945,2.171422405408255,2.285076041109308,2.6032127881693956,2.6343467722776466,2.559962570862502,2.6011173567536043,2.572029325902026,2.5435534614229844,2.553719438712266,2.3572517917452376,2.4941272075539365,2.260968208969037,2.3878216509185726,2.4521885413359708,2.3286696657734196,2.4321473986286675,2.4054984562173325,2.387938795612611,2.490211964707449,2.389040991925941,2.4447393135728013,2.5561402312166988,2.402000285991858,2.496687252983089,2.641206839632243,2.465235951594933,2.5538905359825996,2.739334618782997,2.5579523631684253,2.612056434805897,2.848962620390952,2.696213978149742,2.6753997505469647,2.9610066150218244,2.847837186889723,2.735727098991311,3.084881431733072,3.0184266158059243,2.7998733072821413,3.256170299503207,3.2448180267453197,2.8848610901366274
Art,Product_RealWorld,False,False,Clipart,3.6918729841180564,3.240845327276478,3.2388236540969393,6.719669696390184,4.845450026244601,3.0239148958053903,3.0216433801187423,3.2339578162338496,3.2393076876698097,3.2398061511693457,3.37814899481155,3.2395052142908938,3.2116764747314286,3.196259466874248,3.1974477961204255,2.7694764510228302,3.2600627272094433,2.7786591190834153,2.7705378446364777,3.1843934397292566,2.8414839106802345,2.77885891469568,3.0903525373573766,2.8843893354797254,2.831688531597704,3.0712073478984108,2.9390235872996042,2.8854477117821578,3.0390819722996127,2.986278940446317,2.952733820228279,3.0189930150689905,3.0358966452539846,3.02613987429589,3.042050013563782,3.0820022702723118,3.121171543425322,3.104926462212112,3.1378641077106826,3.2097783307075494,3.1846089896310117,3.1867139734254497,3.323496710172295,3.3079173674717537,3.246057660253045,3.467126423433424,3.4649965825363984,3.317370961544711
Art,Product_RealWorld,False,True,Product,3.752573435873478,3.2744671406882953,3.27118922506117,6.289610536591303,4.513634929408815,2.9729189907225826,2.974239869164002,3.194336878231185,3.272366608914614,3.2715830748232024,3.3495481461620153,3.2726631843282354,3.2444897095483527,3.231441975776316,3.231676628870248,1.9714665324349887,2.0201067445697722,2.347184959352291,2.0621770174141973,2.0413749294617842,2.465825754264381,2.1620446329962464,2.0572481016913553,2.566731980656731,2.2874361118052153,2.129794140993307,2.666665656936808,2.4231923608496784,2.2214831220425233,2.7616493641894686,2.5644323610436173,2.35580560733757,2.8518904427549074,2.7151497690200808,2.5267971772335818,2.941030311187368,2.8910382985375818,2.751092593886051,3.039443679776343,3.0660265521489083,2.982245104042627,3.1327282057773456,3.2681547767668966,3.2379481597065927,3.2369654265525107,3.5027192062839867,3.502320944462716,3.3543469022292896
Art,Product_RealWorld,False,True,RealWorld,3.4513519690583303,3.07766678880949,3.077254022481559,6.927897596901697,4.063879901634269,2.750033502356893,2.755421938592442,2.9355881745341303,3.0791667880004647,3.0869889429350392,3.153301358634461,3.078821614151777,3.040499920327016,3.0151498992348578,3.026666037125609,2.190232088664896,2.3348618689210054,2.3900684151624185,2.246845526655763,2.322906816993906,2.4819859873891326,2.318210193000361,2.3215316108469204,2.561005114977686,2.4145330361455675,2.360117443311455,2.6424382699394373,2.499244653085992,2.3903335124596374,2.707325942284058,2.608686528361216,2.469017998612122,2.7803004963507205,2.718247412841022,2.5696189457874574,2.8470570062926166,2.849488871844113,2.723231809381768,2.9229277910207956,2.98835568947047,2.8996537635786463,2.9978399895686527,3.15290956338495,3.1092536805309354,3.083158227235577,3.357169069962203,3.351739297468961,3.1849927462597174
Art,Clipart_RealWorld,True,False,Art,2.6703750220362616,2.591872376901402,2.5357687754913782,8.079244939237253,3.84347144571763,2.158105334170153,2.1547404555898635,2.268020410557529,2.5966146278662294,2.572868722487831,2.5589610504390277,2.5992493823171,2.5755832334039437,2.560890640162649,2.5676847175398927,2.3233577237699174,2.389650023740533,2.255057960012531,2.3587711872832853,2.324665160616072,2.3234020062714253,2.4303266742367295,2.336738424703095,2.3920751825552857,2.4878062999136743,2.326203738523046,2.448846642527919,2.562668284422904,2.363732593558135,2.5021434430662626,2.651419875437021,2.446103440669062,2.5590736414161883,2.754668894435466,2.554171286977455,2.6193584894236572,2.8570582953616976,2.689386701852176,2.6769633807650157,2.9749541551828385,2.859175261075422,2.739741641438843,3.1031311368867756,3.0449499470829964,2.80643206717807,3.2555554381132126,3.2406489189282057,2.8816086797705482
Art,Clipart_RealWorld,False,True,Clipart,3.6918729841180564,3.240845327276478,3.2388236540969393,6.066506599473742,4.073843148070159,2.9356346976675307,2.937483508951468,3.1416603857512535,3.2400572167191335,3.246811801998141,3.417903442016533,3.2397124116159426,3.2299292907204533,3.20699123128671,3.216147512555562,2.2577344698710364,2.334293046881592,2.5276696071508686,2.3288889356484637,2.34098798126408,2.617617574152024,2.4308826664552092,2.386927419474465,2.7085330107280265,2.5242176405638457,2.4264592934171114,2.7860266947157113,2.6274632730752234,2.4981028093141093,2.8573982279304073,2.7515657114148135,2.6230808580462357,2.9350005088928737,2.871401407851279,2.7431714575828985,3.005326265587843,2.99855156545192,2.893193045739271,3.0768067998025437,3.137767663446069,3.073640761369467,3.150844119647572,3.290214626327157,3.26802407284528,3.2310456184507856,3.452030611163378,3.44904378618896,3.3117686607881405
Art,Clipart_RealWorld,False,False,Product,3.752573435873478,3.2744671406882953,3.27118922506117,6.732575503244168,5.0744762001733275,3.066564172621892,3.0534167398610186,3.2890359200112917,3.2734352994246008,3.2815763044084685,3.380885598425801,3.2729604486413635,3.2585056679841804,3.2311744384383565,3.2452991867941767,2.592445841222815,2.898258044124795,2.709985198499475,2.637787093760073,2.8819438288657877,2.789220848149743,2.6876019660983235,2.8541056639089133,2.852160785223392,2.742970114329085,2.8265173351491875,2.9104548132708126,2.8176127820216115,2.841788155288214,2.966792775597564,2.917436331019551,2.8997972083311065,3.031270007910354,3.0263043076351286,2.994337827385985,3.0958710985488556,3.1174782113313677,3.0701888695111963,3.149928885161031,3.2357920409500602,3.2091375183848663,3.2140134453497344,3.386047450093925,3.3823311340246347,3.2923237141701582,3.540147896623612,3.542436064708233,3.3692203968810404
Art,Clipart_RealWorld,False,True,RealWorld,3.4513519690583303,3.07766678880949,3.077254022481559,6.70441051498076,4.205678767788749,2.7944653902089662,2.789561536953898,2.9808633093435404,3.078180061010044,3.0778176458354753,3.1672193829306114,3.0785383394059567,3.056279688240571,3.0264131611050673,3.0440285851840856,2.2800155485825613,2.4034233769068813,2.4525915126911904,2.3400321522590706,2.3841172190781483,2.5406674477835476,2.415857520088181,2.4002688053431664,2.618024972544638,2.4849945661757142,2.4053084999170067,2.683503372573738,2.580148485150933,2.468278917856287,2.7516015746780047,2.6852882526300847,2.554058434203582,2.819386317986392,2.79428354697004,2.6606548474881797,2.8846327001007954,2.908921126817167,2.7902105711712037,2.9501068998406135,3.045420357963443,2.9701258061850444,3.023722436608735,3.1992177239701154,3.1678836772456767,3.104199509384223,3.366788633455336,3.3605618364453314,3.187536392071174
Art,Clipart_Product,True,False,Art,2.6703750220362616,2.591872376901402,2.5357687754913782,9.157613291966246,4.612346703706616,2.198826744824817,2.198487300195099,2.291540002296885,2.6176512570312047,2.572445067149263,2.5605537505576335,2.6144475799309435,2.5898198100491845,2.5690644844512875,2.5789644768172972,2.41884553594254,2.528464511192763,2.3007282054789027,2.435929805378243,2.4690988674947794,2.3622589234085183,2.489713768908381,2.4382162673280456,2.427129260754289,2.546575662492215,2.4212529415507977,2.4804767366148854,2.6117657655552025,2.437211773915612,2.531284147013749,2.699617638549209,2.4893240034250077,2.589947094414593,2.7830497838720683,2.5608888284787303,2.639539195614847,2.887996427497268,2.6841530177782293,2.698556110883686,3.007566718375683,2.868420616036654,2.764049645761334,3.130623406082391,3.0459923257835206,2.8273426009184552,3.2880980373710393,3.270357982736826,2.9058708931186934
Art,Clipart_Product,False,True,Clipart,3.6918729841180564,3.240845327276478,3.2388236540969393,6.491907252029584,4.422975575368243,2.9308058922626263,2.934833678784302,3.1360267763295337,3.2388244878055668,3.2470112662789496,3.358271866931022,3.2388113092734487,3.2248630433075265,3.205369836610423,3.211222868909032,2.2648091669262387,2.375343221819956,2.504710326149542,2.322664977274649,2.3583397296771365,2.6027372051632,2.417961965398118,2.36977029772666,2.6961361624014497,2.5075196911387145,2.4128361254176447,2.7710716019451427,2.6127639712899926,2.4783706079803522,2.8473716875066253,2.7365764457330113,2.5800497439732775,2.925979486428799,2.850642459738255,2.6970575372979275,2.9942869388758084,2.993324440279603,2.865003417971171,3.0734687060746033,3.136663708347082,3.060166662847623,3.151955615929027,3.2868767494142057,3.2478745778784157,3.229516329012206,3.4580597837805747,3.452216342717409,3.315260740518384
