Trainer,Calib,Train,Valid,Domain,TS Source,TS Oracle,CPCS,TransCal,TS,Cluster NN,Cluster LR
Art,Product_RealWorld,True,False,Art,1.7256940870409256,1.3840561432648744,1.7661132812499996,1.8684921259697007,1.7588079956989122,1.7777170030114866,1.7554164353607793
Art,Product_RealWorld,False,False,Clipart,1.7256940870409256,1.800055492609679,1.7661132812499996,1.8684921259697007,1.7588079956989122,1.746985472529568,1.746956780335672
Art,Product_RealWorld,False,True,Product,1.7256940870409256,1.831618301395309,1.7661132812499996,1.8684921259697007,1.7588079956989122,1.7548375283909714,1.7546049526878367
Art,Product_RealWorld,False,True,RealWorld,1.7256940870409256,1.6830847795100923,1.7661132812499996,1.8684921259697007,1.7588079956989122,1.7591806693047611,1.767805130004049
Art,Clipart_RealWorld,True,False,Art,1.7256940870409256,1.3840561432648744,1.7428710937499996,1.6513731662252593,1.7522375535278243,1.7997950476664788,1.815075516171324
Art,Clipart_RealWorld,False,True,Clipart,1.7256940870409256,1.800055492609679,1.7428710937499996,1.6513731662252593,1.7522375535278243,1.7065669885300625,1.6711551740149582
Art,Clipart_RealWorld,False,False,Product,1.7256940870409256,1.831618301395309,1.7428710937499996,1.6513731662252593,1.7522375535278243,1.707209987927318,1.6909085882159876
Art,Clipart_RealWorld,False,True,RealWorld,1.7256940870409256,1.6830847795100923,1.7428710937499996,1.6513731662252593,1.7522375535278243,1.7408611698008862,1.751048364762911
Art,Clipart_Product,True,False,Art,1.7256940870409256,1.3840561432648744,1.81484375,1.6495838245926122,1.804247718855267,1.8354690979377846,1.8390235794349112
Art,Clipart_Product,False,True,Clipart,1.7256940870409256,1.800055492609679,1.81484375,1.6495838245926122,1.804247718855267,1.7886773175837067,1.8018188402072397
Art,Clipart_Product,False,True,Product,1.7256940870409256,1.831618301395309,1.81484375,1.6495838245926122,1.804247718855267,1.7949954739796392,1.7834972835669476
Art,Clipart_Product,False,False,RealWorld,1.7256940870409256,1.6830847795100923,1.81484375,1.6495838245926122,1.804247718855267,1.8136654249979673,1.830454822278239
Clipart,Product_RealWorld,False,False,Art,1.1695198219553735,1.7644812910913923,1.3606445312499993,1.0694479346891395,1.400348383105705,1.389097942177559,1.4104083749149303
Clipart,Product_RealWorld,True,False,Clipart,1.1695198219553735,0.7585921298250464,1.3606445312499993,1.0694479346891395,1.400348383105705,1.3834027841054062,1.3517776460167275
Clipart,Product_RealWorld,False,True,Product,1.1695198219553735,1.5922390993826787,1.3606445312499993,1.0694479346891395,1.400348383105705,1.4119054918784495,1.4252198996840488
Clipart,Product_RealWorld,False,True,RealWorld,1.1695198219553735,1.4800124421523193,1.3606445312499993,1.0694479346891395,1.400348383105705,1.4116976508494925,1.4304165997644254
