,Rho,Error,ECE,MCE,Loss,Brier
0,0.0,55.144634891250654,10.900082818384421,27.180877724220835,2.247188240645754,0.713013231754303
1,0.1,55.641504548134186,15.29589139111289,32.40496072450942,2.325678615888249,0.7365894118944804
2,0.2,57.9084092273957,16.74341793095198,36.42142508002413,2.4192549582276874,0.7614492774009705
3,0.3,58.628966647015936,19.811318268653746,44.10824728232842,2.504719529429474,0.7872279286384583
4,0.4,61.78244987686154,19.28736223377933,47.29788330370787,2.626083404426175,0.8129758636156718
5,0.5,65.32095888222233,17.82716800101667,48.96910914944277,2.770417314216567,0.8404893080393473
6,0.6,71.13032107825582,13.839479438832678,46.5687770396471,2.901864696805756,0.8669485251108805
7,0.7,76.10746562499426,10.207331664790155,44.56755220890045,3.0443948351393124,0.8896388610204061
8,0.8,79.25846955697703,7.158393410710128,44.58276755882033,3.1831397253121043,0.9062971671422323
9,0.9,82.02334580328333,4.908420353452595,47.971763710180916,3.349559330571339,0.9239616592725118
10,1.0,86.06193837016468,2.4974898978111253,46.4062578148312,3.541634449611749,0.9416583776473999
