,Rho,Error,ECE,MCE,Loss,Brier
0,0.0,61.66719852497962,5.689878877913707,14.67671936654916,2.8742440677353507,0.748359739780426
1,0.1,61.855121795553664,9.67464288071538,21.419494582142903,2.9011791699023064,0.7590718468030294
2,0.2,62.255788391305884,11.105635328581519,25.112038057875864,2.944973411866504,0.768171230951945
3,0.30000000000000004,62.979115696911684,13.444024708543509,28.65199173373392,3.017974019998593,0.7839000026384989
4,0.4,64.26266709215332,13.2949747845773,28.868919813492607,3.0940310827463633,0.796735942363739
5,0.5,65.32283799595788,13.650977945694132,26.432733044472723,3.1803585835900847,0.8105081717173258
6,0.6000000000000001,67.27653086551076,12.66890614537318,27.55547723096812,3.2713594251530327,0.8233182430267334
7,0.7000000000000001,69.46424139275963,11.610939568653626,24.592026430730428,3.390676572108298,0.8399946093559265
8,0.8,71.57040031202355,9.944311984563175,21.593080556734236,3.5193864760690707,0.8541488846143087
9,0.9,74.3431549835124,7.1591911519422675,16.522288826796707,3.6834130223462176,0.8689156969388326
10,1.0,76.99890082615325,4.937378106472951,14.181481496265022,3.930380623707959,0.8854251305262247
