,Rho,Error,ECE,MCE,Loss,Brier
0,0.0,39.60164111153352,6.001255691443013,41.00913098023373,1.5833308961516732,0.5319249828656515
1,0.1,39.712474908587375,10.03003768278191,23.487109994931973,1.588290858104485,0.5355373422304789
2,0.2,42.53336492142463,11.709000594514578,23.074798670316493,1.7002175896938783,0.5733156402905782
3,0.3,43.03170379185652,15.461209360384466,30.919457234186684,1.7533506229526787,0.5974725286165873
4,0.4,46.01907406489149,16.66339976965354,32.42701050164043,1.8896316998859282,0.6378348271052042
5,0.5,48.009399293675585,17.514494042524387,35.998210872686094,1.9560684408783786,0.6605914632479349
6,0.6,50.498063392891574,17.85371676056558,33.9382975224571,2.08364400584474,0.6936757961908976
7,0.7,54.14988549316907,16.159469790142136,35.03634469522225,2.2115961395738406,0.7260673642158508
8,0.8,58.62749743346759,13.377025221337895,34.12907966799071,2.342250649960357,0.7560702562332153
9,0.9,62.4435041477735,11.481463762793178,29.427343507607777,2.523514136011132,0.7908813158671061
10,1.0,65.98541070946486,8.649516963607608,37.62150386969248,2.7173623244449474,0.8141772747039795
