,Rho,Error,ECE,MCE,Loss,Brier
0,0.0,37.32446415373244,3.088845981385473,12.494857890830803,1.5043529509127156,0.4944279094537099
1,0.1,39.283074648928306,4.383146664002429,10.051491645793632,1.5153024705484688,0.5067317287127177
2,0.2,38.17442719881745,6.251300687998731,25.65289576090824,1.528609878559813,0.5083182056744894
3,0.3,39.320029563932,7.666776667115692,20.241631058946485,1.5596511829443103,0.5157569646835327
4,0.4,39.98521803399853,9.216012959337553,23.118737353818563,1.6101928674649475,0.531623919804891
5,0.5,40.946045824094604,9.455829252353308,19.81413632668163,1.648464501068166,0.5414886275927225
6,0.6,41.86991869918699,9.928194990179227,26.48837959916308,1.7035773012497828,0.5550167957941691
7,0.7,43.237250554323715,9.446784628160072,22.264494641903823,1.7587403191458495,0.5666419267654419
8,0.8,44.3089430894309,8.97584204181357,19.492728598563883,1.8131504602253943,0.5795262058575948
9,0.9,45.195861049519586,8.690458395038592,24.16308107701215,1.887020690212954,0.5918650031089783
10,1.0,46.74796747967479,7.5465594661330515,22.33828729758933,1.9821330160883457,0.6057046254475912
