,Rho,Error,ECE,MCE,Loss,Brier
0,0.0,61.392405063291136,8.35578384692617,34.40101608633995,2.547397853595888,0.7521956960360209
1,0.1,61.60337552742616,12.101405073329282,38.054740234723965,2.578055078962768,0.7688209017117819
2,0.2,61.88466947960618,15.185595612642887,43.16092598219219,2.6273945564438184,0.7861332694689432
3,0.3,62.16596343178622,17.346752256563697,47.659485095586525,2.7169684892593664,0.8045290112495422
4,0.4,63.9943741209564,17.63927475503435,49.647846707591306,2.795688010600255,0.8243633111317953
5,0.5,67.58087201125176,16.18547224283805,54.10901088405539,2.89675921840402,0.844809869925181
6,0.6,70.88607594936708,13.780772222963106,50.15287218909515,3.037679465170609,0.8667622605959574
7,0.7,73.76933895921239,11.915016189772954,56.88100177230257,3.137231823816665,0.8817625443140665
8,0.8,78.48101265822784,8.26655309804507,56.55294431673064,3.328261597865325,0.9053824742635092
9,0.9,79.957805907173,6.364193793946849,49.746541216162875,3.4688895796170214,0.919504980246226
10,1.0,82.84106891701828,4.40329098563154,47.52240677674612,3.647755768228684,0.933437168598175
