Trainer,Calib,Train,Valid,Domain,Uncalibrated,TS Source,TS Oracle,TS,Cluster NN,Cluster LR,Cluster Ensem,CPCS,TransCal,HB TopLabel
4filter_1,,True,False,original,0.8972251705325418,0.7993176294088655,0.799332021328792,0.8010623501137601,0.9325757157200091,6.399894709187634,2.317457011156995,0.8041573955057085,0.8035368060114843,1.1211301676818382
4filter_1,,True,False,gaussian_noise_1,1.3098738395865255,1.1072550265640122,1.0957832094573567,1.0982214054218422,1.1708133243048098,6.696066464986885,2.684328527475624,1.09614179536938,1.096361741282328,1.4935333597772324
4filter_1,,False,False,gaussian_noise_2,1.8830250950413745,1.4956669615417384,1.4183259203316585,1.4642303068548774,1.4270133718336984,6.777148579051435,2.8460237605427103,1.4511152908386244,1.4531386362454024,2.2237076260469877
4filter_1,,False,False,gaussian_noise_3,2.7239514934352353,2.0550568615557157,1.7977206536411257,1.9888138197755558,1.7953704645351416,6.782673716199686,3.1812188154552827,1.9584818103846122,1.963322057431744,3.212060728364387
4filter_1,,False,False,gaussian_noise_4,3.4483584221191657,2.5249532616930535,2.0442059459022803,2.427358923526327,2.088829361168886,6.209401515002957,3.189520895257342,2.3815479151034635,2.3889191640333625,4.154049564765559
4filter_1,,False,False,gaussian_noise_5,3.9789769954445746,2.8757673333848737,2.190960403999216,2.7559727269336416,2.315416054966904,5.527874866301202,3.1517916516414113,2.699179479177144,2.7083477130059745,5.1440598842000815
4filter_1,,True,False,brightness_1,0.9260254544909552,0.8245213747499408,0.8244959604766855,0.8258117213396787,0.948065119704987,6.306848424239272,2.288045038654701,0.8287179489836387,0.8281277259194276,1.1436229096206512
4filter_1,,False,False,brightness_2,0.979052483256354,0.8759442514287666,0.875935796664739,0.8772850690676061,0.999835870639027,6.1725297259885945,2.2963417905363563,0.8802510807302122,0.8796496677096786,1.2265534809301242
4filter_1,,False,False,brightness_3,1.0702229421139946,0.9562992571568337,0.9563267738510698,0.9580062157815676,1.0819939341144222,5.821840011377785,2.2348900637521316,0.9612118886794343,0.9605688998847464,1.2934090714034585
4filter_1,,False,False,brightness_4,1.2075240534167446,1.0806499071239544,1.0804215093412375,1.0818716621597322,1.2060256217306642,5.662650552108984,2.3672033401823236,1.0848789074734497,1.0842671423560404,1.4551341496748076
4filter_1,,False,False,brightness_5,1.441587625265485,1.2750761189568,1.2718914869161133,1.2718760118314063,1.3716175794171328,5.573160476242216,2.528873429647889,1.2726756543738555,1.2724270030282878,1.7504471737430403
4filter_1,,True,False,pixelate_1,1.201601205681739,1.0657468686795395,1.064808128128329,1.0653962998798154,1.173254532493623,4.940747680785372,2.2214907200183043,1.0676387489286578,1.0671509805337456,1.3439203313802122
4filter_1,,False,False,pixelate_2,1.3441647151952516,1.2000093085120263,1.1990990311635183,1.1997536466670047,1.3038688053580358,4.928968033732024,2.37768577834212,1.2020803782263083,1.20157801313647,1.471340725618346
4filter_1,,False,False,pixelate_3,1.5726861211758085,1.412398630522371,1.410418767728387,1.4105191357177378,1.504449502779138,4.93706443599097,2.5162806105075295,1.4119473676830012,1.411598199685257,1.733604809272525
4filter_1,,False,False,pixelate_4,1.8726222054206016,1.6663655502078505,1.6556473079267904,1.6580588962843499,1.716881460468705,5.511363443691939,2.894092313040662,1.6560973295995063,1.656314109449955,2.07390313374468
4filter_1,,False,False,pixelate_5,1.9745315428570311,1.7504169395834743,1.7340533116489887,1.739525896696992,1.7843960521179512,5.758527609736144,3.0098237188507593,1.7362040748795802,1.7366476760366272,2.2381679642461
4filter_1,,True,False,gaussian_blur_1,1.3638191875420653,1.2347867290655448,1.234707456159323,1.2368024621353002,1.3624407787269486,5.00137982482743,2.386337968487001,1.240252769304976,1.2395672736813754,1.4625400693890798
4filter_1,,False,False,gaussian_blur_2,1.99205898834581,1.7802097481918593,1.7664187096583106,1.7705862198496394,1.8189122053933389,6.063166197029072,3.2033340455326957,1.7678269621007245,1.7681819662020763,2.200371985464021
4filter_1,,False,False,gaussian_blur_3,2.2942012223357815,2.003217520723481,1.9556112814509348,1.9830083608753093,1.9730317164221034,6.623612488325344,3.4726432092738535,1.9748609027739872,1.9761052318301704,2.3800646059403903
