Trainer,Calib,Train,Valid,Domain,Uncalibrated,TS Source,TS Oracle,HB,Isotonic,Beta abm,Beta am,Beta ab,CPCS,TransCal,HB TopLabel,TS,Cluster NN,Cluster LR,Cluster Ensem,CaliGen 0,CaliGen TS 0,CaliGen Ensem 0,CaliGen 0.1,CaliGen TS 0.1,CaliGen Ensem 0.1,CaliGen 0.2,CaliGen TS 0.2,CaliGen Ensem 0.2,CaliGen 0.3,CaliGen TS 0.3,CaliGen Ensem 0.3,CaliGen 0.4,CaliGen TS 0.4,CaliGen Ensem 0.4,CaliGen 0.5,CaliGen TS 0.5,CaliGen Ensem 0.5,CaliGen 0.6,CaliGen TS 0.6,CaliGen Ensem 0.6,CaliGen 0.7,CaliGen TS 0.7,CaliGen Ensem 0.7,CaliGen 0.8,CaliGen TS 0.8,CaliGen Ensem 0.8,CaliGen 0.9,CaliGen TS 0.9,CaliGen Ensem 0.9,CaliGen 1.0,CaliGen TS 1.0,CaliGen Ensem 1.0
4filter_1,,True,False,original,17.58548009987678,24.99660163915994,25.050117840667305,18.228001098972086,14.205264843304088,18.477312032285077,16.537988796804132,15.069903916194264,19.122176063193784,19.15070355358427,27.870262902940315,19.299896786388675,12.961090118035154,8.284883529570731,3.426466450911639,9.394681903868603,4.955563274595931,4.615767689667751,3.854153948562334,13.658368273939574,5.627521822261683,10.144440111058973,17.749582280222686,5.516551381692451,9.249629735142708,18.466986245512807,14.859656197803766,13.947435160088352,13.800345124780979,6.103734950107222,18.92750622708375,26.143385970489376,8.026082656107278,14.339136625980178,13.793300600442588,4.1632727844756445,19.283422554926414,18.88239961812337,14.876484910629008,6.768273256900368,13.86261590370976,14.369176177547876,5.475453855977854,18.296733282184636,5.279051959296159,13.976627492421775,13.800514570003363,4.875962424077268
4filter_1,,True,False,gaussian_noise_1,14.095712906611755,6.99723316482499,9.945460537586175,5.788176248001352,6.057861439747262,10.092341800827672,5.200733858250122,9.312074700666269,9.479462085885151,7.917427246562495,23.223460829209397,9.590880507275674,4.700127275907713,8.533485860705214,8.032924124092817,9.292215188698192,14.028440590063418,14.01936481797369,6.92178938294279,13.379666467063135,6.293230352550162,8.742583196612447,13.332428705364055,5.733913801104595,7.410497344195218,13.22384522743906,6.025829145071041,15.239554417100296,13.85790123475134,9.708364238715642,20.718099080346164,7.5848711669265985,9.117393551662879,15.050733289814582,18.254508760648616,9.159050868332196,7.851433916017548,21.449192443991212,9.025926482713194,14.863767949914902,14.5272082332275,9.667915107354904,9.334930766947474,18.64442290043787,15.467554367686304,6.784439553253449,13.894944774044955,6.746213517555509
4filter_1,,False,False,gaussian_noise_2,8.191691333815942,11.28477342261183,4.385281052147213,7.441704674337853,15.336031125926594,4.525517577370499,6.0865124060596045,7.929124824151164,11.740323927722248,11.751260854883226,27.86481692525414,11.83711611486846,15.41517750032341,5.9629471474223,5.7467540943595985,6.195397233776991,5.963209449824705,6.751767999592938,10.091948533169163,10.98157481815546,7.774410363533282,8.696305279049685,14.012817144624137,7.532615353121237,9.632116854590933,11.137363995456049,6.645507364111543,9.82120244479659,5.789598927428704,6.532979909953227,6.1668599960132955,11.643389526400533,12.460291850642205,5.218369696809008,4.673537663973251,5.531646417652674,5.902355912259129,5.221946573835139,16.120737101235612,7.685035487849122,5.34134789676542,11.928171449127897,8.17649199879096,11.8166694654683,12.514499467137307,6.251179262462425,12.504526437945525,11.68360528789287
4filter_1,,False,False,gaussian_noise_3,7.57487667215627,4.537061043565179,24.556798210106393,4.365904135264822,3.368172889611289,5.745882773028035,4.4404281293834345,4.445265540830514,3.754514632695742,3.3586882671609426,22.840974442432607,3.4655430734584813,10.76048122974424,4.357985836199482,7.183268112717021,4.692171195790495,3.7120421857269226,4.299146625220459,3.826864745365825,3.932974446802686,3.870965511740655,4.626647253902187,3.8985075154240865,4.428066318784766,5.005246395366512,3.337021033997633,4.367285404325477,3.562474300298571,3.583064951771302,4.789891597046547,4.187081941211919,7.7924653012987,5.196110723412972,4.164892063879113,2.951400885059409,5.08287218373261,4.198623325199699,8.299782883330627,5.0613661550938,4.003887703944665,4.537585998908528,4.775579979235727,5.0139979624845585,3.4609739867441363,4.6624483806824,4.503086993493269,5.293416816573715,3.7795012319671826
4filter_1,,False,False,gaussian_noise_4,5.4484430513504725,4.35219659116991,14.68329319984279,5.01221279319787,5.572278976453199,4.079343835361431,4.173708121379728,4.348400806727596,4.9323056518083925,5.20884712867209,8.359532220488962,4.016060309227509,19.961288689684057,2.3433902788340046,4.718265832143846,4.672104683560389,4.612280255681913,5.2137028938296455,3.1961333972611334,3.4870156630032128,5.191458587339781,3.5831850280695914,4.349873916812243,4.95252020308322,4.212468856711445,4.495272690956079,4.350164645294187,2.71128400582017,3.543463816080759,5.105576543288027,4.977834492149864,3.773402292199234,4.699826139924239,3.903664076082725,3.8552327651809244,4.653121527598423,4.65345835459069,3.431858166479543,4.377387310317516,3.28425508172198,3.7431962332724287,4.353910186379008,3.0837373337148604,3.0986080721513187,3.757891342841947,4.443417721635993,3.6845818829656185,3.7754047407089626
4filter_1,,False,False,gaussian_noise_5,3.8259878333453043,7.737914090416944,16.684402323776244,5.552509205208021,6.3759482290867595,5.197667993268815,4.267383580999063,3.7736237967897477,12.229739205913274,10.139479698774878,10.981963234678668,9.683180635295356,21.295549757874795,3.5621087890884215,3.3633346930760992,7.842024918156161,6.165454084038235,6.311094232792796,6.730701957781031,5.190368045883055,5.6066261642008595,6.767524013095161,4.544100408397825,6.5171476040581755,5.621270232143191,3.7139423562869442,5.76017508013487,4.789432000297528,3.979883225726416,6.1611582834906855,5.362636435868393,5.999420979324749,5.063162607838256,5.265742829529715,5.060812755867036,5.145672132925567,8.152361603859685,4.582425551062795,5.661787744663112,4.099345914584351,4.196586677125644,4.999859243073063,4.637906453376001,4.769783118373499,5.635904407306836,4.16713749705791,4.615327204072759,5.075200472632723
4filter_1,,True,False,brightness_1,15.667464783421712,18.755424667707164,18.794715245855812,10.71383367597982,5.456712717203824,10.105092331477787,13.965771993784585,5.8409240358807235,7.179847347428873,7.114847805576317,29.317528632192197,7.036460321848398,5.893398348856267,8.798616569570875,5.982707113932416,2.9366697857948902,8.211616629539416,5.216957067641913,22.718857716964028,24.81295525899923,7.2849453570193194,22.269215522033363,23.773127466810852,14.190341602766342,19.11556932529781,19.1991944148869,18.38526329076856,4.891870792793253,5.102633001938436,19.124843188706148,14.68445211142171,18.141325639309922,18.851658390997994,13.988848813522662,18.989524874674924,22.656028489509954,13.569336786562788,18.63664253333085,21.676186948299566,21.422252244344133,18.666487807922035,21.935018790125348,14.264471120812296,18.623188557697702,21.258795197348462,21.90960946457683,22.6242369141167,14.715362137345599
4filter_1,,False,False,brightness_2,10.18208423504046,3.836456632114735,3.8374282820532737,14.994847397992709,18.781129354507872,14.54282283134572,24.477444263225653,8.036126270729634,8.807633792915334,8.680631654769769,28.128330694810582,8.329300749872813,4.857901522235115,6.953189880630172,3.2037083112037146,6.321239578880294,13.39635964345923,20.19562210923147,7.326265925901665,18.794295060256413,7.685816202195316,6.914907621556996,14.121346398214312,19.17020767335576,14.52181963868592,5.733681037340837,4.932507535031972,3.5851555568694313,14.524911569897387,3.4313398957185597,7.472197276172379,22.19944607634645,6.0143831189630275,14.04487479594661,4.4932874860050775,13.598190937043416,3.108553971493622,6.282943210724381,14.331347570664144,5.1920401046296005,6.335655063865831,14.359199517953043,7.244812354673705,14.218920843430976,6.401540296951757,18.145603846091344,13.805833618601147,7.895246498331409
4filter_1,,False,False,brightness_3,12.570408120578557,15.276043027667669,15.270208268495013,11.718570252668329,18.87993824442196,6.106163008524335,7.299581614342546,12.454077941074686,15.42230637957087,15.442434155961683,31.98413561973119,20.26340024507113,13.05576910886561,6.1945086188683245,4.466644543427366,5.24295092555692,7.4369967061297775,14.861856216666284,6.420503438918751,14.05803907983074,19.749579727485617,5.517595966774181,13.787530116249018,14.613328001739754,10.161090607995185,19.10953597582927,15.059045509859185,15.002215296832208,22.45673277567715,19.790645234923144,16.020658663288113,18.94177635354536,21.896538073897773,19.953443795464096,18.768599946934962,14.192931914241258,4.838095766053057,14.30599124581383,14.100682846014424,16.66642641003851,20.18714411868421,13.796506876951605,5.7176472362064095,15.519344295789645,5.902474549701762,4.927046768121967,19.015397512846288,14.298029999778452
4filter_1,,False,False,brightness_4,5.259156630245114,5.917983713878979,5.736851837385971,11.014533187485904,14.75064293778689,10.641714501530641,8.493500265715667,9.706645004380594,7.705787863495901,7.5056967512462105,32.17120921448032,4.80193065544334,4.5277029591771125,7.8875800278110155,5.893990663692704,6.127959635988889,24.19897523921268,6.820193314626085,6.303246301993677,15.367700966120669,5.933946331441794,15.642041514232037,13.910902093402756,5.298102441198918,3.6545444907347115,4.030369472014894,6.16142342439343,2.7165172575073235,2.622596727199229,6.893146240775804,6.254327827161395,14.148767147502763,6.723014700448946,4.850455675579903,14.795485168650265,9.757518750858134,4.546031243003351,2.530660485268694,10.878828949193624,2.840397296455637,4.876344159049815,7.4840327319131275,9.523515121470727,16.002407132294486,9.874544616835424,4.219515240913436,19.967954587151553,7.434888912062712
