Trainer,Calib,Train,Valid,Domain,Uncalibrated,TS
Art,Product_RealWorld,True,False,Art,0.12571206607940036,0.4880305840925891
Art,Product_RealWorld,False,False,Clipart,2.0640109486640137,2.1620117975385753
Art,Product_RealWorld,False,True,Product,1.5597383222989545,1.2463528935237973
Art,Product_RealWorld,False,True,RealWorld,1.8519989132477026,1.3617128609679388
Art,Clipart_RealWorld,True,False,Art,0.09880773890571515,0.10176515278628022
Art,Clipart_RealWorld,False,True,Clipart,1.6006855470095538,1.2968915665263758
Art,Clipart_RealWorld,False,False,Product,1.306571547571683,1.4337511067293203
Art,Clipart_RealWorld,False,True,RealWorld,1.606086761916202,1.1863322170603878
Art,Clipart_Product,True,False,Art,0.26484150241432314,0.7908072234387354
Art,Clipart_Product,False,True,Clipart,1.5258999973600536,1.1805576349702873
Art,Clipart_Product,False,True,Product,1.4542272456781684,0.8626562583530525
Art,Clipart_Product,False,False,RealWorld,1.3294201890640285,1.1885535536495238
Clipart,Product_RealWorld,False,False,Art,1.100756048757903,1.2463999523446538
Clipart,Product_RealWorld,True,False,Clipart,0.1776113766053456,0.19662517805450996
Clipart,Product_RealWorld,False,True,Product,1.5292438140626716,1.0783095641305545
Clipart,Product_RealWorld,False,True,RealWorld,1.5282396811998107,1.0022672182385348
Clipart,Art_RealWorld,False,True,Art,1.6788872642725532,1.3378380839227144
Clipart,Art_RealWorld,True,False,Clipart,0.21133482738839773,0.22792519379016782
Clipart,Art_RealWorld,False,False,Product,1.8682963845132985,1.1954456847071657
Clipart,Art_RealWorld,False,True,RealWorld,1.1385294489310769,1.1782525707122247
Clipart,Art_Product,False,True,Art,1.165376426862457,1.416972566482566
Clipart,Art_Product,True,False,Clipart,0.1632394625329457,0.17011947034778913
Clipart,Art_Product,False,True,Product,1.835597844158795,1.282971386742371
Clipart,Art_Product,False,False,RealWorld,1.6317684815321383,1.1482487101932985
Product,Clipart_RealWorld,False,False,Art,1.6014045429321302,1.3533383877224197
Product,Clipart_RealWorld,False,True,Clipart,1.655157106460349,1.3649986499607956
Product,Clipart_RealWorld,True,False,Product,0.06843465942791863,0.061986451449878785
Product,Clipart_RealWorld,False,True,RealWorld,1.2553893938797838,1.2111985885050114
Product,Art_RealWorld,False,True,Art,1.5082983815254747,1.3470704059944805
Product,Art_RealWorld,False,False,Clipart,1.7579530233072251,1.58267859874291
Product,Art_RealWorld,True,False,Product,0.1660040475616585,0.497563057114848
Product,Art_RealWorld,False,True,RealWorld,1.695578016690474,1.0596870371834948
Product,Art_Clipart,False,True,Art,1.2719418174792092,0.9133551051436293
Product,Art_Clipart,False,True,Clipart,1.6230960086311061,1.1549090463876657
Product,Art_Clipart,True,False,Product,0.07412900987968571,0.07292719088613084
Product,Art_Clipart,False,False,RealWorld,1.5822297429818495,1.1241256842369596
RealWorld,Clipart_Product,False,False,Art,1.1736457419045812,1.2038661588082609
RealWorld,Clipart_Product,False,True,Clipart,1.4215652266688852,1.174921409322454
RealWorld,Clipart_Product,False,True,Product,1.9348487339439746,0.6637324709357435
RealWorld,Clipart_Product,True,False,RealWorld,0.1711205061930191,0.34943499953549034
RealWorld,Art_Product,False,True,Art,1.1399453069615306,0.8382437949342119
RealWorld,Art_Product,False,False,Clipart,1.7526546390274775,1.869275468328697
RealWorld,Art_Product,False,True,Product,1.679001191685877,0.9233579256428006
RealWorld,Art_Product,True,False,RealWorld,0.12009046508440939,0.12772724658395915
RealWorld,Art_Clipart,False,True,Art,1.412281426866595,1.1785297834492492
RealWorld,Art_Clipart,False,True,Clipart,1.7289603367239292,1.4779141749323652
RealWorld,Art_Clipart,False,False,Product,1.4156596898166314,1.3434212523920792
RealWorld,Art_Clipart,True,False,RealWorld,0.12401328941814924,0.1282339037836852
