,Rho,Error,ECE,MCE,Loss,Brier
0,0.0,63.35863714759231,5.612934593056145,47.02757654854884,2.4837643441040367,0.758462111155192
1,0.1,61.214858791850084,10.163199869426041,32.51474220783283,2.528300265220429,0.7684939503669739
2,0.2,64.64374006304509,10.399910552241844,34.05000497445915,2.5978745678747095,0.7905495365460714
3,0.3,64.0716471680253,14.438172190707705,39.41573930509163,2.6392573005735134,0.8060768842697144
4,0.4,66.143128911599,14.01609555989171,40.47789509629283,2.728919654147995,0.8203562299410502
5,0.5,69.35894961600083,13.045968674454238,45.746849753238536,2.843489385863632,0.8434557318687439
6,0.6,70.07165329485683,13.401756294291973,49.7350811958313,2.9284967563022537,0.8623903195063273
7,0.7,74.42721783643198,10.46921233282882,44.06108574734794,3.056949076843807,0.8835623661677042
8,0.8,75.64293438469763,9.311818307227002,38.1757664459723,3.1759894628324634,0.8977725108464559
9,0.9,78.21314021560319,7.156690861076025,48.765212297439575,3.301591575137921,0.9129261573155721
10,1.0,80.64212257951861,6.818395597650924,55.31184573968252,3.462877234450248,0.9284432729085287
