,Rho,Error,ECE,MCE,Loss,Brier
0,0.0,45.0858150788955,11.962571017218659,27.34629607969714,1.8287789281954094,0.5996491511662801
1,0.1,45.34410158526408,15.755225418544876,30.345276970911623,1.887274553995277,0.6171684861183167
2,0.2,48.14630961175683,15.949634641598848,34.02730938435685,1.9608489059935206,0.6382808685302734
3,0.3,48.36186407533319,17.714578587271102,36.68803294682832,2.0267754728691103,0.6530733108520508
4,0.4,51.42258146109044,17.46045566122237,38.298601487561434,2.1287182380804754,0.6826044321060181
5,0.5,53.233929799109255,16.984970564084175,37.32388357164685,2.2097500135915342,0.7047068079312643
6,0.6,55.99206866543429,15.64236798092494,31.49705833179659,2.3092102659465117,0.7295569976170858
7,0.7,59.00843832490392,13.568820876912548,30.782747893679765,2.410268657604457,0.7527428269386292
8,0.8,62.24108671986165,10.608050862019686,28.87521374814304,2.5333865657335117,0.7778109312057495
9,0.9,65.6469475281714,7.520411829886608,23.648711912846437,2.662748520429955,0.8027137319246928
10,1.0,68.14674417490387,5.71777930338422,16.638023020240706,2.8261686380420596,0.8290067911148071
