,Rho,Error,ECE,MCE,Loss,Brier
0,0.0,58.62646566164154,5.413620011690674,17.253303289248915,2.332516060035353,0.7314257423082987
1,0.1,58.17978782802904,6.431885391041128,22.055310404962967,2.291425351517415,0.7296474377314249
2,0.2,54.49469570072585,6.29777419523844,19.992011227089947,2.227964672245163,0.7015047073364258
3,0.3,54.43886097152429,5.737244432229427,23.633584836382923,2.250325425260945,0.7086774309476217
4,0.4,55.890563930764934,6.911809626594394,26.38584288944995,2.2511909204985705,0.7131914695103964
5,0.5,56.169737576772754,8.607005515140504,21.77143753366633,2.3177169028101234,0.7298805713653564
6,0.6,57.78894472361808,8.494530243789727,22.492937833457205,2.3583832270990457,0.744136373202006
7,0.7,59.40815187046343,8.656932440826111,29.17591593873848,2.3900762925710253,0.7514652808507284
8,0.8,61.02735901730876,9.046085530789057,26.188870661315462,2.487726194103607,0.7721671462059021
9,0.9,64.54494695700727,7.469225383666825,27.011118729909256,2.5979472097596905,0.7930917342503866
10,1.0,68.9000558347292,5.883111998996277,30.881763858691098,2.8555842599058985,0.8250333865483602
