Trainer,Calib,Train,Valid,Domain,Uncalibrated,TS Source,TS Oracle,HB,Isotonic,Beta abm,Beta am,Beta ab,TS,Cluster NN,Cluster LR,Cluster Ensem,SCaliGen,SCaliGen TS,SCaliGen TSA,SCaliGen Ensem
Art,Product_RealWorld,True,False,Art,0.008291339542171603,0.0068515589575603286,0.00858227153703996,0.012650084931010473,0.01619054708710185,0.005892295813890915,0.007017647256538991,0.008774406694327986,0.006835258278295288,0.00744847122437969,0.007026669088191481,0.007030826756236309,0.014554447,0.014547514,0.018490424,0.00822050618239924
Art,Product_RealWorld,False,False,Clipart,0.023791699754047945,0.014766981068043696,0.011010685022417494,0.012449276788516875,0.013346487631483574,0.013071476949726128,0.013244505778906082,0.019764567635018666,0.012675569821338701,0.01816135233463225,0.017354751235061423,0.01626490816947726,0.018698348,0.018678725,0.02797095,0.015389355547663824
Art,Product_RealWorld,False,True,Product,0.03185672958440951,0.02249383193893404,0.018917921471729382,0.017846447053978115,0.017879743062723188,0.018312103966131383,0.01896724500347863,0.02558131137964063,0.019976893226638877,0.0267266047585382,0.02594712852583848,0.02457353035652159,0.020701373,0.020688724,0.026514541,0.02130776415133613
Art,Product_RealWorld,False,True,RealWorld,0.026083555597611552,0.018421931929797342,0.01765267771715999,0.01918580092532313,0.014583420030677181,0.014574187647270097,0.014473738019642073,0.01831784847301494,0.01635801001414116,0.021139763391002972,0.02160967252065678,0.02002648809375897,0.014756644,0.01474603,0.0200456,0.014942122558573473
Art,Clipart_RealWorld,True,False,Art,0.008291339542171603,0.0068515589575603286,0.00858227153703996,0.013335755385921529,0.014286037413356458,0.007908888566651857,0.007610662197266376,0.008954810825254057,0.0068945583493396495,0.007497689589125834,0.007289868666048322,0.007106521127738848,0.014604596,0.014524689,0.01649308,0.008146253353019661
Art,Clipart_RealWorld,False,True,Clipart,0.023791699754047945,0.014766981068043696,0.011010685022417494,0.017315935543739416,0.014301435944757373,0.012251281368543792,0.012765508884477347,0.018007142581289805,0.011889879152309591,0.019724682561786076,0.018113795624052218,0.016805189148108288,0.014963722,0.014650919,0.023014301,0.013163091504950389
Art,Clipart_RealWorld,False,False,Product,0.03185672958440951,0.02249383193893404,0.018917921471729382,0.019990560059422825,0.018991388115637404,0.01949213212362684,0.019919889069257332,0.025650759859603578,0.019001192504688492,0.027577323458053308,0.026275455275586713,0.024863832905628516,0.017385315,0.017131649,0.023854967,0.020304842519815496
Art,Clipart_RealWorld,False,True,RealWorld,0.026083555597611552,0.018421931929797342,0.01765267771715999,0.020579390592026466,0.015292938488935101,0.015548344989957918,0.0157595777127989,0.019087124427227656,0.01553643476276048,0.020766494901351337,0.02177063334213033,0.019723375335654474,0.016622385,0.01640806,0.020799883,0.015078737228360098
Art,Clipart_Product,True,False,Art,0.008291339542171603,0.0068515589575603286,0.00858227153703996,0.016751010982586464,0.014081090912826109,0.010156176386086386,0.008808133583035064,0.01114183656545117,0.006971580675101579,0.007244906419511722,0.006938100645218388,0.0068860460359114915,0.011692867,0.011664262,0.014611256,0.008142329958385297
Art,Clipart_Product,False,True,Clipart,0.023791699754047945,0.014766981068043696,0.011010685022417494,0.017988016833159096,0.01803529828410967,0.012656321462682843,0.012847078166172686,0.017563012284432328,0.01123489776265863,0.01718141615802655,0.01657072235996699,0.015060835415404358,0.015574167,0.015508609,0.02148156,0.0142807601700213
