Trainer,Calib,Train,Valid,Domain,Uncalibrated,TS Source,TS Oracle,HB,Isotonic,Beta abm,Beta am,Beta ab,TS,Cluster NN,Cluster LR,Cluster Ensem,SCaliGen,SCaliGen TS,SCaliGen TSA,SCaliGen Ensem
Art,Product_RealWorld,True,False,Art,3.850000000000004,3.850000000000004,3.850000000000004,8.919999999999996,28.720000000000006,3.280000000000002,3.3400000000000025,3.820000000000004,3.850000000000004,3.850000000000004,3.850000000000004,3.850000000000004,16.510000000000005,16.510000000000005,16.510000000000005,4.160000000000004
Art,Product_RealWorld,False,False,Clipart,66.25,66.25,66.25,69.86999999999999,66.83,64.47,64.38000000000002,66.14,66.25,66.25,66.25,66.25,60.010000000000005,60.010000000000005,60.010000000000005,60.230000000000004
Art,Product_RealWorld,False,True,Product,59.38000000000001,59.38000000000001,59.38000000000001,63.52,59.92,57.760000000000005,57.55,59.86,59.38000000000001,59.38000000000001,59.38000000000001,59.38000000000001,38.279999999999994,38.279999999999994,38.279999999999994,46.66
Art,Product_RealWorld,False,True,RealWorld,47.84,47.84,47.84,53.10999999999999,49.61,46.11,46.23,48.15,47.84,47.84,47.84,47.84,37.580000000000005,37.580000000000005,37.580000000000005,39.269999999999996
Art,Clipart_RealWorld,True,False,Art,3.850000000000004,3.850000000000004,3.850000000000004,8.669999999999998,27.460000000000008,3.170000000000003,3.2800000000000034,3.8000000000000043,3.850000000000004,3.850000000000004,3.850000000000004,3.850000000000004,15.180000000000007,15.180000000000007,15.180000000000007,4.750000000000005
Art,Clipart_RealWorld,False,True,Clipart,66.25,66.25,66.25,68.32000000000002,64.18,63.39,63.529999999999994,66.06,66.25,66.25,66.25,66.25,47.14,47.14,47.14,53.379999999999995
Art,Clipart_RealWorld,False,False,Product,59.38000000000001,59.38000000000001,59.38000000000001,63.989999999999995,59.720000000000006,58.69,58.19000000000001,59.719999999999985,59.38000000000001,59.38000000000001,59.38000000000001,59.38000000000001,51.25,51.25,51.25,53.02
Art,Clipart_RealWorld,False,True,RealWorld,47.84,47.84,47.84,52.27,48.92,46.559999999999995,46.62,48.2,47.84,47.84,47.84,47.84,40.64,40.64,40.64,40.87
Art,Clipart_Product,True,False,Art,3.850000000000004,3.850000000000004,3.850000000000004,10.849999999999998,33.19,3.3800000000000034,3.580000000000001,3.8500000000000036,3.850000000000004,3.850000000000004,3.850000000000004,3.850000000000004,17.65,17.65,17.65,4.600000000000006
Art,Clipart_Product,False,True,Clipart,66.25,66.25,66.25,67.70000000000002,65.35999999999999,63.739999999999995,63.64,66.16,66.25,66.25,66.25,66.25,47.36999999999999,47.36999999999999,47.36999999999999,53.18999999999998
Art,Clipart_Product,False,True,Product,59.38000000000001,59.38000000000001,59.38000000000001,62.540000000000006,60.25,58.14999999999999,57.68999999999998,59.81999999999999,59.38000000000001,59.38000000000001,59.38000000000001,59.38000000000001,39.21999999999999,39.21999999999999,39.21999999999999,46.519999999999996
Art,Clipart_Product,False,False,RealWorld,47.84,47.84,47.84,52.92999999999999,50.45,46.39999999999999,46.62,48.1,47.84,47.84,47.84,47.84,42.86,42.86,42.86,41.09
