Trainer,Calib,Train,Valid,Domain,Uncalibrated,TS Source,TS Oracle,HB,Isotonic,Beta abm,Beta am,Beta ab,TS,Cluster NN,Cluster LR,Cluster Ensem,SCaliGen,SCaliGen TS,SCaliGen TSA,SCaliGen Ensem
Art,Product_RealWorld,True,False,Art,1.8417103210184227,11.515533121479804,1.7890358516663027,19.454149100221798,8.991230989787486,19.377158144149572,15.597803274351914,16.15282151426251,16.21225487514439,5.281165069679256,6.428009200786282,7.774943780926378,15.386702884063123,14.235318393930791,3.794162552282215,18.203179762498117
Art,Product_RealWorld,False,False,Clipart,32.879696565827345,12.64380421249247,5.179626385690393,11.782064532764725,8.252006459177936,7.285738345967998,6.780940024792939,25.582558139998213,9.032284151367955,20.602324363372468,18.0329217373218,16.216688761184653,8.373721875436605,9.307420694567263,24.52595955692232,7.391102325716311
Art,Product_RealWorld,False,True,Product,29.63138686262581,9.828075100276553,5.558230924387162,11.055804340279675,7.576408784199193,6.046540854271296,6.185265244737323,21.68297774208897,6.976882728108374,17.562711198096114,14.905689866383062,13.312247955131571,6.132648608908056,5.761844030693174,12.007745459899308,5.373788171550897
Art,Product_RealWorld,False,True,RealWorld,23.22981969810049,6.191845345605197,6.022795528102413,9.39569464931956,7.274486814763034,5.913479691868235,5.924121531925002,14.319049716584455,5.912606269522312,12.321180669283732,10.098527226247942,9.023558315611334,5.8522987928986545,5.202839759737253,12.423453691899777,6.33305939092808
Art,Clipart_RealWorld,True,False,Art,1.8417103210184227,11.515533121479804,1.7890358516663027,17.84239240798352,10.234519021082919,19.18419519048801,16.827115227378062,15.099938849157194,18.3635241172942,4.98193095276821,5.405719007227467,7.426169070552879,16.939391063824296,16.342673756107686,4.021131640672685,18.947976927170703
Art,Clipart_RealWorld,False,True,Clipart,32.879696565827345,12.64380421249247,5.179626385690393,10.556681463066816,7.707339469233378,6.146398040978163,5.337178201384734,23.760608805352888,7.819266641206818,20.51042137614114,19.112617810452416,16.19404680527551,6.753687652386726,6.459148486144841,13.08259466931224,7.4527473040948085
Art,Clipart_RealWorld,False,False,Product,29.63138686262581,9.828075100276553,5.558230924387162,12.20124633657229,9.659196520319089,6.362655534085358,5.886265099142115,20.6835862697713,6.180260917190578,18.45465085861154,16.623865258989007,13.783292546409552,5.795877461247146,6.108663507029414,19.844345740303396,6.093611367042838
Art,Clipart_RealWorld,False,True,RealWorld,23.22981969810049,6.191845345605197,6.022795528102413,9.330582953659095,7.285563180265987,5.735271764590871,5.776819063881378,13.541736561610652,6.895243158019203,12.694920383853972,11.722892045824489,9.060823598387563,5.720361492857338,5.534596262797714,14.26277223430574,6.209567986892622
Art,Clipart_Product,True,False,Art,1.8417103210184227,11.515533121479804,1.7890358516663027,19.442093541531474,9.760397483415664,20.368719730218693,18.089477077526688,16.412770765921262,20.345403688422586,6.606781338536609,6.886081836547315,9.277855889925702,16.53626904942095,16.66723549544811,3.600057086348534,21.16181264354291
Art,Clipart_Product,False,True,Clipart,32.879696565827345,12.64380421249247,5.179626385690393,9.941364699163568,7.0494123035155685,5.768546137387166,5.137898183957782,23.608637603965455,6.699148097014754,18.338745580415946,17.003690037804542,14.250616859316882,6.136110017187892,6.13710019569844,14.015681081339716,6.729239070441113
