Trainer,Calib,Train,Valid,Domain,Uncalibrated,TS Source,TS Oracle,HB,Isotonic,Beta abm,Beta am,Beta ab,TS,Cluster NN,Cluster LR,Cluster Ensem,SCaliGen,SCaliGen TS,SCaliGen TSA,SCaliGen Ensem
Art,Product_RealWorld,True,False,Art,0.025606254136686456,0.019383700602755113,0.027733742149087845,0.28417154623895,0.4850427135738712,0.018949835964707264,0.019067110741038087,0.018194507079813564,0.019196255235461167,0.020857281400260757,0.019219151451201826,0.0194800166451517,0.03246917213379212,0.03302614295210995,0.04409313588818956,0.021078844008257703
Art,Product_RealWorld,False,False,Clipart,0.1224409585547117,0.07313838002117157,0.06034147292797246,0.43150641098153925,0.3398819054301533,0.07239934994401052,0.07182121270320187,0.0859787390528759,0.06726170756897873,0.08574842652823292,0.08365527345299931,0.07857798639944832,0.09832538888653831,0.10073427320170648,0.14607133390119195,0.07651292137635586
Art,Product_RealWorld,False,True,Product,0.1344751031851125,0.08628199279922592,0.07585323624359501,0.33229264414871684,0.2115923847056227,0.08073366981431516,0.07901116904487335,0.09350551170922822,0.08029253168599498,0.10015275787581145,0.09327193961255734,0.09110034323237098,0.06416008190907062,0.06518004602475996,0.08643087461549673,0.06552351194040942
Art,Product_RealWorld,False,True,RealWorld,0.11694572699875745,0.07327746806452072,0.07057975541220134,0.45024958680333854,0.2529214444393013,0.06445912481875318,0.06436046132528545,0.07510807834971049,0.06770686376280459,0.08566058918710025,0.0825400824011139,0.07860319306507266,0.06215814386188894,0.06316086299637115,0.08296600916838145,0.06029384554973993
Art,Clipart_RealWorld,True,False,Art,0.025606254136686456,0.019383700602755113,0.027733742149087845,0.33037146461164263,0.5179362148453519,0.019119528833878536,0.01934904655021104,0.01943202170343507,0.019189374557701148,0.02081369293674055,0.020233082828936502,0.019751508872719908,0.03500933201532039,0.035186793693112915,0.04467301277391679,0.02233821003359225
Art,Clipart_RealWorld,False,True,Clipart,0.1224409585547117,0.07313838002117157,0.06034147292797246,0.39531724597761825,0.2514661437651,0.062048613422518016,0.06133935711991284,0.07697736049283047,0.06515588543294114,0.08670673934652887,0.08506492825953703,0.07843143651981505,0.05663076914915752,0.05718167736059616,0.08445211798703554,0.053155994124146094
Art,Clipart_RealWorld,False,False,Product,0.1344751031851125,0.08628199279922592,0.07585323624359501,0.5220368106920209,0.31575082659646697,0.08761673418128632,0.08464794617661696,0.1006792339688335,0.07811124729123853,0.10597362660640959,0.09559662106853105,0.09291087118482927,0.08747787291326725,0.08834541242586494,0.12853724653994095,0.07704911158833919
Art,Clipart_RealWorld,False,True,RealWorld,0.11694572699875745,0.07327746806452072,0.07057975541220134,0.44958705544389566,0.2645958838895653,0.06910373382367926,0.06809614026622228,0.08046031725908823,0.06566828448289394,0.08565109616971814,0.08548630481571204,0.07887024887070458,0.07977538842855521,0.08048188999562991,0.11321183857901829,0.06781167281922143
Art,Clipart_Product,True,False,Art,0.025606254136686456,0.019383700602755113,0.027733742149087845,0.2908519816663735,0.46873570828141603,0.019196405668960265,0.019241404943245232,0.017849980703635304,0.019207578732525023,0.02109647428996148,0.019638820767264396,0.01974834486744575,0.03359558407220325,0.03354838210896762,0.04519740992595852,0.020688593917902006
Art,Clipart_Product,False,True,Clipart,0.1224409585547117,0.07313838002117157,0.06034147292797246,0.31762657314552306,0.22470225945844982,0.06253935463656925,0.061611566491233304,0.07602558243619255,0.06344209326748723,0.08003609543222916,0.07964454105827003,0.07411483143501399,0.05609243844519657,0.05598592429080173,0.07997583171830525,0.055111446147225844
Art,Clipart_Product,False,True,Product,0.1344751031851125,0.08628199279922592,0.07585323624359501,0.37135499860368376,0.30592521403135786,0.08304959484688167,0.08176661662722794,0.10051857261622499,0.07631916116753794,0.09787065663827374,0.09237669000819905,0.08867094526616641,0.06982972937418044,0.06971016039508267,0.09589503339761038,0.06753468194348466
Art,Clipart_Product,False,False,RealWorld,0.11694572699875745,0.07327746806452072,0.07057975541220134,0.3576262333584278,0.2813720624776236,0.0664068815668423,0.06552563979725415,0.08023298817091111,0.06399094251076032,0.08229682058368953,0.0814435548290413,0.07596695323757689,0.058720458945798325,0.05861797320683327,0.0820987755169204,0.05525093538498663
Clipart,Product_RealWorld,False,False,Art,0.07079543372453527,0.05989926389390024,0.04426550182958843,0.3428013714278249,0.28962087547053367,0.049356140491045,0.0486451292814834,0.062029285558228786,0.050388253646238314,0.03482722860357146,0.034545708009843,0.03987357468745264,0.06569069915187006,0.0659132464559115,0.10018289180527107,0.05193557345570217
Clipart,Product_RealWorld,True,False,Clipart,0.024767290735784268,0.02440480231601556,0.027871797089405653,0.3389441426642352,0.299068883368669,0.02328462820837301,0.023150171492093967,0.02605591989905291,0.024590901367488364,0.025284253367977627,0.024105387415205133,0.024924644212287454,0.03609612550152674,0.036139761894462656,0.043904653610891985,0.025745686842892173
Clipart,Product_RealWorld,False,True,Product,0.07319938645346113,0.06369075762469369,0.05218362236822859,0.5449776368215493,0.18058383952307813,0.04525670593113648,0.04465962737188088,0.053193562213658147,0.05562237485063616,0.04315667321779826,0.041404568430118006,0.04683273706018726,0.05557216416911808,0.05568984518331954,0.0747158379495361,0.04862215080724664
Clipart,Product_RealWorld,False,True,RealWorld,0.10147530307534985,0.08851633946749975,0.07571887265077876,0.357958313073625,0.19447651710494726,0.07367631260545345,0.07267450243913486,0.08004680984318374,0.07744607468016204,0.05946378535375933,0.058335498514068114,0.06528177758434832,0.0624203500304595,0.06257173193227664,0.08643422003241294,0.06348723452849747
Clipart,Art_RealWorld,False,True,Art,0.07079543372453527,0.05989926389390024,0.04426550182958843,0.44773008715417084,0.2369846458165607,0.04872738966470612,0.0487693338078655,0.05828852156823274,0.05051740151327381,0.034012326528779196,0.033618134469094944,0.03939144226792559,0.06874996429761032,0.06815830512534127,0.10932896532452371,0.0551806750708742
Clipart,Art_RealWorld,True,False,Clipart,0.024767290735784268,0.02440480231601556,0.027871797089405653,0.45718856837553123,0.274818724138033,0.022397172830361488,0.022490484185861994,0.02441776052841087,0.02458619489187286,0.024514033185406712,0.024957784134994505,0.02500592593959267,0.040880414789155536,0.04070767550330065,0.05300558728758983,0.026645492058267283
Clipart,Art_RealWorld,False,False,Product,0.07319938645346113,0.06369075762469369,0.05218362236822859,0.651918289683507,0.18881064997948147,0.0470436242182813,0.047548154017007356,0.05624304928561827,0.05573110934913005,0.04125946628978774,0.04068745293343086,0.04611586383810919,0.0731035651746865,0.07269463000055414,0.10212093615381265,0.057392647429841355
Clipart,Art_RealWorld,False,True,RealWorld,0.10147530307534985,0.08851633946749975,0.07571887265077876,0.3613395457266865,0.2021769514467522,0.07657277353940775,0.07728306710788785,0.0844340598493024,0.07759531705726751,0.05799696326248432,0.05841435641781503,0.06500720770185864,0.06802786207935078,0.06765044939098727,0.09537871354672571,0.06792735459269203
Clipart,Art_Product,False,True,Art,0.07079543372453527,0.05989926389390024,0.04426550182958843,0.36140880187337454,0.29075853596857637,0.05206506556403071,0.05119613190654814,0.06282608085260748,0.049294646563952944,0.034167992158977575,0.0330608035919706,0.03892627160741088,0.05533334893239946,0.05557189929066816,0.08834169828410292,0.04657744586162425
Clipart,Art_Product,True,False,Clipart,0.024767290735784268,0.02440480231601556,0.027871797089405653,0.40247555454852063,0.2774131765152137,0.02355463957380298,0.023367748125926485,0.025860039146552573,0.024631558741105796,0.024807815872393675,0.023790891779242773,0.02477386729872915,0.036372384585928834,0.036425247750675245,0.04500372609030585,0.025007946169076173
Clipart,Art_Product,False,True,Product,0.07319938645346113,0.06369075762469369,0.05218362236822859,0.5271887313614178,0.15163837491874424,0.04722493324082863,0.046797123258130145,0.05514524572368306,0.05470144753173864,0.04129507153927105,0.04129144747020408,0.04590194355371306,0.05499574569275091,0.05511778577397547,0.07179354940110715,0.04713766914056419
Clipart,Art_Product,False,False,RealWorld,0.10147530307534985,0.08851633946749975,0.07571887265077876,0.4193742803422698,0.21541802675278943,0.07566368485681828,0.07438412762824924,0.08308971710443458,0.0761823393641549,0.05799511373946626,0.057403482363964024,0.06408196707553229,0.06602878100184617,0.06624313808367462,0.095890935098959,0.06472597370724013
Product,Clipart_RealWorld,False,False,Art,0.10584707364652239,0.09099663103756812,0.04665837620292407,0.3729548477273853,0.27817830715777425,0.06725689168297701,0.06739497892631335,0.07723642493374762,0.0636037744140171,0.053839071271935414,0.05111290377169516,0.05590631805581001,0.05984197162779509,0.06367208989427561,0.09614907548731286,0.05596194849637349
Product,Clipart_RealWorld,False,True,Clipart,0.1108074765205618,0.09581371528756687,0.060582345153594,0.3574072860946444,0.1733026173867954,0.05720361477237005,0.060464041327587766,0.07089283969672933,0.06919616711853244,0.057168242075698865,0.05598734228886893,0.060622422399783764,0.07172674136561782,0.07486795116164643,0.10218535113483583,0.0640047922004923
Product,Clipart_RealWorld,True,False,Product,0.03465227898980292,0.03149414748444416,0.03853452902330626,0.3718600873020454,0.3321295424691083,0.029997674176056036,0.02957364335513857,0.030242858586200665,0.026741525433237778,0.027887751078319076,0.026796191624089468,0.02680520793271049,0.04378272720318982,0.04475678316365324,0.05514545720231191,0.031162850162063636
Product,Clipart_RealWorld,False,True,RealWorld,0.09067830099209387,0.07949789295510404,0.06179701545571559,0.41773999727124234,0.22919625304069144,0.0650142639098386,0.06526221447847287,0.07051014472619596,0.06162828002115605,0.05622646071828523,0.05539596825136552,0.05712219089434165,0.06576947556530723,0.06900387509816394,0.09764874835968218,0.054415205765823066
Product,Art_RealWorld,False,True,Art,0.10584707364652239,0.09099663103756812,0.04665837620292407,0.2610030276832429,0.24332339962846777,0.06665980820074988,0.06830096514929412,0.07486698885118824,0.06387687453132429,0.05750313544583739,0.05208671383104029,0.057618797626802484,0.048216968141008044,0.051466352015788204,0.08140343482849426,0.04829969068497405
Product,Art_RealWorld,False,False,Clipart,0.1108074765205618,0.09581371528756687,0.060582345153594,0.42900267887845994,0.1916073854052145,0.06102491185039084,0.06482646774024112,0.07346633295636139,0.06945783327998566,0.0617095066347457,0.0603972346344868,0.06379712913384793,0.07287078479760031,0.07767930830771216,0.11913487529575342,0.06682328681559914
Product,Art_RealWorld,True,False,Product,0.03465227898980292,0.03149414748444416,0.03853452902330626,0.4751117544810898,0.31799131833661315,0.02956047184528702,0.028290077024534194,0.029805555825821117,0.0267808069716917,0.02780832148961267,0.027209763983714046,0.02710711945297154,0.03698490958731964,0.03768016367966949,0.04580372188102091,0.028250003279306293
