Trainer,Calib,Train,Valid,Domain,Uncalibrated,TS Source,TS Oracle,HB,Isotonic,Beta abm,Beta am,Beta ab,TS,Cluster NN,Cluster LR,Cluster Ensem,SCaliGen,SCaliGen TS,SCaliGen TSA,SCaliGen Ensem
Art,Product_RealWorld,True,False,Art,3.850000000000004,3.850000000000004,3.850000000000004,13.940000000000003,43.73,3.580000000000002,3.3400000000000025,4.050000000000003,3.850000000000004,3.850000000000004,3.850000000000004,3.850000000000004,23.74,23.74,23.74,5.260000000000005
Art,Product_RealWorld,False,False,Clipart,66.25,66.25,66.25,71.22000000000001,67.37,64.26,64.47999999999999,66.13000000000001,66.25,66.25,66.25,66.25,61.000000000000014,61.000000000000014,61.000000000000014,60.419999999999995
Art,Product_RealWorld,False,True,Product,59.38000000000001,59.38000000000001,59.38000000000001,64.67999999999999,60.30999999999999,57.620000000000005,57.04,59.7,59.38000000000001,59.38000000000001,59.38000000000001,59.38000000000001,36.97999999999999,36.97999999999999,36.97999999999999,45.12
Art,Product_RealWorld,False,True,RealWorld,47.84,47.84,47.84,54.910000000000004,50.980000000000004,45.86,46.51,48.14,47.84,47.84,47.84,47.84,38.55,38.55,38.55,39.72000000000001
Art,Clipart_RealWorld,True,False,Art,3.850000000000004,3.850000000000004,3.850000000000004,12.07,41.32,3.4100000000000015,3.5200000000000022,4.220000000000003,3.850000000000004,3.850000000000004,3.850000000000004,3.850000000000004,21.359999999999996,21.359999999999996,21.359999999999996,4.970000000000003
Art,Clipart_RealWorld,False,True,Clipart,66.25,66.25,66.25,69.24,64.01000000000002,62.62000000000002,63.07000000000001,66.22,66.25,66.25,66.25,66.25,46.160000000000004,46.160000000000004,46.160000000000004,51.71
Art,Clipart_RealWorld,False,False,Product,59.38000000000001,59.38000000000001,59.38000000000001,65.29000000000002,60.580000000000005,58.749999999999986,58.129999999999995,59.779999999999994,59.38000000000001,59.38000000000001,59.38000000000001,59.38000000000001,52.71999999999999,52.71999999999999,52.71999999999999,53.14
Art,Clipart_RealWorld,False,True,RealWorld,47.84,47.84,47.84,54.74000000000001,50.2,46.69,46.36,48.21999999999999,47.84,47.84,47.84,47.84,40.760000000000005,40.760000000000005,40.760000000000005,41.230000000000004
Art,Clipart_Product,True,False,Art,3.850000000000004,3.850000000000004,3.850000000000004,18.36,57.09000000000001,3.520000000000004,3.790000000000005,4.210000000000005,3.850000000000004,3.850000000000004,3.850000000000004,3.850000000000004,26.700000000000006,26.700000000000006,26.700000000000006,6.050000000000001
Art,Clipart_Product,False,True,Clipart,66.25,66.25,66.25,69.04,66.05,63.02,63.19,66.11999999999998,66.25,66.25,66.25,66.25,46.83,46.83,46.83,51.5
Art,Clipart_Product,False,True,Product,59.38000000000001,59.38000000000001,59.38000000000001,64.28999999999999,61.24000000000001,57.59999999999999,57.6,59.72999999999998,59.38000000000001,59.38000000000001,59.38000000000001,59.38000000000001,38.89999999999999,38.89999999999999,38.89999999999999,44.69
Art,Clipart_Product,False,False,RealWorld,47.84,47.84,47.84,55.60999999999999,55.45,46.239999999999995,46.599999999999994,48.14,47.84,47.84,47.84,47.84,44.64,44.64,44.64,41.1
Clipart,Product_RealWorld,False,False,Art,70.83000000000001,70.83000000000001,70.83000000000001,76.76,71.02000000000001,68.37,68.75,70.52000000000001,70.83000000000001,70.83000000000001,70.83000000000001,70.83000000000001,65.49,65.49,65.49,65.17999999999999
Clipart,Product_RealWorld,True,False,Clipart,9.379999999999997,9.379999999999997,9.379999999999997,34.79,43.39,8.639999999999997,8.819999999999997,9.199999999999996,9.379999999999997,9.379999999999997,9.379999999999997,9.379999999999997,31.539999999999992,31.539999999999992,31.539999999999992,13.760000000000002
Clipart,Product_RealWorld,False,True,Product,62.21,62.21,62.21,65.74000000000001,60.17999999999999,57.71999999999999,57.45,61.220000000000006,62.21,62.21,62.21,62.21,39.07,39.07,39.07,45.68
Clipart,Product_RealWorld,False,True,RealWorld,58.970000000000006,58.970000000000006,58.970000000000006,63.94,59.85,54.540000000000006,54.709999999999994,57.8,58.970000000000006,58.970000000000006,58.970000000000006,58.970000000000006,45.96,45.96,45.96,47.779999999999994
Clipart,Art_RealWorld,False,True,Art,70.83000000000001,70.83000000000001,70.83000000000001,76.76,69.05999999999999,67.30999999999999,67.50000000000001,70.08999999999999,70.83000000000001,70.83000000000001,70.83000000000001,70.83000000000001,60.08,60.08,60.08,61.370000000000005
Clipart,Art_RealWorld,True,False,Clipart,9.379999999999997,9.379999999999997,9.379999999999997,39.2,46.989999999999995,8.839999999999998,8.489999999999995,9.239999999999995,9.379999999999997,9.379999999999997,9.379999999999997,9.379999999999997,35.6,35.6,35.6,13.7
Clipart,Art_RealWorld,False,False,Product,62.21,62.21,62.21,70.45,64.85000000000001,59.080000000000005,59.2,61.25,62.21,62.21,62.21,62.21,58.120000000000005,58.120000000000005,58.120000000000005,55.910000000000004
Clipart,Art_RealWorld,False,True,RealWorld,58.970000000000006,58.970000000000006,58.970000000000006,65.43,58.69,54.44,54.0,57.71,58.970000000000006,58.970000000000006,58.970000000000006,58.970000000000006,46.93,46.93,46.93,46.95
Clipart,Art_Product,False,True,Art,70.83000000000001,70.83000000000001,70.83000000000001,77.9,72.35999999999999,67.72,67.79999999999998,70.88,70.83000000000001,70.83000000000001,70.83000000000001,70.83000000000001,64.41,64.41,64.41,64.41999999999999
Clipart,Art_Product,True,False,Clipart,9.379999999999997,9.379999999999997,9.379999999999997,42.71,55.73999999999999,9.609999999999996,9.509999999999998,9.859999999999996,9.379999999999997,9.379999999999997,9.379999999999997,9.379999999999997,38.71,38.71,38.71,16.150000000000006
Clipart,Art_Product,False,True,Product,62.21,62.21,62.21,67.36000000000001,61.330000000000005,57.489999999999995,56.669999999999995,60.910000000000004,62.21,62.21,62.21,62.21,40.14,40.14,40.14,45.86
Clipart,Art_Product,False,False,RealWorld,58.970000000000006,58.970000000000006,58.970000000000006,67.94,62.94000000000001,55.1,55.010000000000005,57.82000000000001,58.970000000000006,58.970000000000006,58.970000000000006,58.970000000000006,52.13000000000001,52.13000000000001,52.13000000000001,51.17999999999999
