Trainer,Calib,Train,Valid,Domain,Uncalibrated,TS Source,TS Oracle,HB,Isotonic,Beta abm,Beta am,Beta ab,TS,Cluster NN,Cluster LR,Cluster Ensem,SCaliGen,SCaliGen TS,SCaliGen TSA,SCaliGen Ensem
Art,Product_RealWorld,True,False,Art,0.05423491575257233,0.07736764411567473,0.05396553527884281,0.1909517733664862,0.34715275619672664,0.12923156855207857,0.09521692910288945,0.11696100519776542,0.09374455687897996,0.062164445197386745,0.0660980175742806,0.06848489487605516,0.26559278,0.2606303,0.22903648,0.12309325311641395
Art,Product_RealWorld,False,False,Clipart,0.9423970833621205,0.827911678106067,0.8105190927460539,0.8683044440733418,0.8210770661107517,0.7983216848874082,0.79702463918099,0.8976357783489897,0.8169619692450001,0.8583884388210457,0.8431118498945882,0.8370728103997566,0.75602245,0.7585124,0.8273517,0.7589280978922744
Art,Product_RealWorld,False,True,Product,0.8638082425361935,0.7575725461854126,0.7464885465551833,0.8116485414838968,0.7534593268435448,0.7258101265584198,0.7252605801344187,0.8155625599808161,0.7489744117151141,0.786966793573498,0.7702109708420186,0.7660414065063678,0.50681657,0.5059458,0.526765,0.6024333533011015
Art,Product_RealWorld,False,True,RealWorld,0.7026248383061563,0.631007868026665,0.629728772235796,0.7021032712977854,0.6477191866737779,0.6151177076049946,0.6124504679549089,0.671701857382176,0.6299208444259841,0.6453308346071199,0.6356195218190237,0.6332104518761803,0.508299,0.5074452,0.5283171,0.5335055742513417
Art,Clipart_RealWorld,True,False,Art,0.05423491575257233,0.07736764411567473,0.05396553527884281,0.18075654763186458,0.33771693916810686,0.12921493942207515,0.10383899353535923,0.11116572548014621,0.10253324976400797,0.06193557651104018,0.06313404613763471,0.06748189308672584,0.2612709,0.25880063,0.21947399,0.13082461752259403
Art,Clipart_RealWorld,False,True,Clipart,0.9423970833621205,0.827911678106067,0.8105190927460539,0.8490500272732033,0.792396343806665,0.7742012834477984,0.7763800822588607,0.8758946115993517,0.8140654178098767,0.8570501771059547,0.8492991681159768,0.8364675673717198,0.62056553,0.6199447,0.6394642,0.6896071188140709
Art,Clipart_RealWorld,False,False,Product,0.8638082425361935,0.7575725461854126,0.7464885465551833,0.8208030435811067,0.7694380486836139,0.7396903613006195,0.7380465364429856,0.8225834052961064,0.7472414300796959,0.7897329083879934,0.778293969574875,0.7673901156907108,0.65921986,0.6597016,0.71321887,0.673304324948132
Art,Clipart_RealWorld,False,True,RealWorld,0.7026248383061563,0.631007868026665,0.629728772235796,0.7029820151093282,0.6450837554554865,0.6187709480900696,0.6171932470206886,0.6732082121426617,0.6312628355287331,0.650844855296406,0.6409344352646918,0.6352720019148185,0.53107363,0.53070503,0.55585754,0.5467837142920441
Art,Clipart_Product,True,False,Art,0.05423491575257233,0.07736764411567473,0.05396553527884281,0.2188765481230845,0.39681222909493674,0.14304384175566748,0.11645080556880445,0.12475809389134392,0.11129015797711457,0.06521223417276892,0.0665260189206304,0.07235947722536139,0.2867,0.28725582,0.24424985,0.14143646537213156
Art,Clipart_Product,False,True,Clipart,0.9423970833621205,0.827911678106067,0.8105190927460539,0.8491856664985281,0.7974557396240302,0.7747337843809035,0.7753506961308316,0.8765156898929456,0.8122568461215766,0.8476464091535323,0.8388140899812369,0.8290977206081356,0.62170315,0.62181866,0.64452153,0.6855316256356072
Art,Clipart_Product,False,True,Product,0.8638082425361935,0.7575725461854126,0.7464885465551833,0.8131391188636664,0.7607756204911479,0.7278516431712401,0.7275928283974568,0.8170846048383795,0.7465487333706816,0.775354666392355,0.7673023255288166,0.7584149899327649,0.5232769,0.523412,0.53964,0.601449577660188
Art,Clipart_Product,False,False,RealWorld,0.7026248383061563,0.631007868026665,0.629728772235796,0.7113731816013157,0.6691879749375136,0.6287294183539752,0.6245012140743469,0.679997537848042,0.6332550658659549,0.6408806340535057,0.634396773768872,0.6304280045408186,0.560711,0.56076163,0.5902763,0.556270247645274
Clipart,Product_RealWorld,False,False,Art,0.8951276917846747,0.8612838627677627,0.8336647155371828,0.9148657395104918,0.8451528513189756,0.8224777142525894,0.8238576402485298,0.8840034567165581,0.8388288190460523,0.852451114918183,0.8541336772515435,0.8376447352352402,0.79584855,0.79608375,0.8603858,0.7925310473572225
Clipart,Product_RealWorld,True,False,Clipart,0.13780187032667496,0.1496071928514156,0.131006333282148,0.23572220512584238,0.25771790488925234,0.15841954623787713,0.1573870946470905,0.1521407243679681,0.17583337191415252,0.34871952651677357,0.3579905535748926,0.2609338133752265,0.29030865,0.28977573,0.2614093,0.19454004873260483
Clipart,Product_RealWorld,False,True,Product,0.807237152363227,0.7767648726977519,0.753456656736893,0.8072529134899502,0.733712034867575,0.7189396392049161,0.720785876290859,0.7841703670390906,0.7566274724045533,0.7858118020866337,0.7868661230995503,0.7618256740032952,0.55803096,0.5578748,0.57305706,0.634620799584796
Clipart,Product_RealWorld,False,True,RealWorld,0.7668661882531491,0.7385896448295384,0.7202378892476153,0.7783389583482035,0.7143390176223374,0.6905581517849578,0.6897758645544685,0.744728598360283,0.7213668028112656,0.7596040794461448,0.7626913779107409,0.7321834556412128,0.58959126,0.5894888,0.6103513,0.6272174501329755
Clipart,Art_RealWorld,False,True,Art,0.8951276917846747,0.8612838627677627,0.8336647155371828,0.9043597742965808,0.8313569953116895,0.8096876366795349,0.8100779878350981,0.8795402311651408,0.8390414513846688,0.8565829281580479,0.8543502026976159,0.8381425724660551,0.73873967,0.7386838,0.784161,0.7649900646305319
Clipart,Art_RealWorld,True,False,Clipart,0.13780187032667496,0.1496071928514156,0.131006333282148,0.24635164824629086,0.25809151532296243,0.15823585655510114,0.16154351668789904,0.1478580591350533,0.17527859165648058,0.3685735508406377,0.3584066854453352,0.2643889057443127,0.28405252,0.28535643,0.25576168,0.1942692574825863
Clipart,Art_RealWorld,False,False,Product,0.807237152363227,0.7767648726977519,0.753456656736893,0.8330165075898716,0.7498438188066909,0.732418557546341,0.7322558027813555,0.7901488198922955,0.7568034066979772,0.7903387728599465,0.7887060843387732,0.7628539397112991,0.69932497,0.69898355,0.75455064,0.698551659620744
Clipart,Art_RealWorld,False,True,RealWorld,0.7668661882531491,0.7385896448295384,0.7202378892476153,0.7887906753984532,0.7155365051313395,0.6891021563433679,0.6866802208532402,0.7472283078828836,0.7214929358606389,0.7663864682164494,0.7642909940030562,0.7336093513464287,0.5954412,0.59574825,0.6169387,0.6305568633140488
Clipart,Art_Product,False,True,Art,0.8951276917846747,0.8612838627677627,0.8336647155371828,0.9109883404991335,0.8361492723001291,0.8139807576653698,0.8124313789160112,0.8829240872246971,0.8371730175582096,0.8569658177486318,0.8612996498199044,0.8405262272763041,0.7605094,0.76059735,0.8109201,0.7752271009990741
Clipart,Art_Product,True,False,Clipart,0.13780187032667496,0.1496071928514156,0.131006333282148,0.2545698143910141,0.2650126810143151,0.1632984315940133,0.16533718796029556,0.15321948581554132,0.18085943620670633,0.3693686316646334,0.3793737434651769,0.2742460331558204,0.29681066,0.29619053,0.27248257,0.19938312522430332
Clipart,Art_Product,False,True,Product,0.807237152363227,0.7767648726977519,0.753456656736893,0.8155419287118626,0.7334160955272059,0.716853253591512,0.716426262830208,0.7851740122852421,0.7553016042741686,0.7900152440222421,0.7934880867836002,0.764664926031289,0.5630754,0.5628447,0.5770961,0.6353682088531315
Clipart,Art_Product,False,False,RealWorld,0.7668661882531491,0.7385896448295384,0.7202378892476153,0.7959655737403387,0.7226344648932624,0.6943992109663111,0.6917696219920746,0.7470820453376035,0.7204779987644694,0.7647568760704468,0.7717257988264631,0.7359847423798109,0.62904924,0.6290401,0.6689771,0.6454561408649809
